,brand,model,year,car_detail,url,fipe_price
0,agrale,marrua,2012,28-am-100-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2012/28-am-100-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 99.371,00"
1,agrale,marrua,2012,28-am-100-cs-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2012/28-am-100-cs-turbo-intercooler-diesel-2p-manual/rj,"R$ 93.168,00"
2,agrale,marrua,2012,28-am-150-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2012/28-am-150-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 108.236,00"
3,agrale,marrua,2011,28-am-150-cs-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2011/28-am-150-cs-turbo-intercooler-diesel-2p-manual/rj,"R$ 77.208,00"
4,agrale,marrua,2011,28-am-200-cs-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2011/28-am-200-cs-turbo-intercooler-diesel-2p-manual/rj,"R$ 85.008,00"
5,agrale,marrua,2010,28-am-200-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2010/28-am-200-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 71.958,00"
6,agrale,marrua,2010,28-am-100-cs-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2010/28-am-100-cs-turbo-intercooler-diesel-2p-manual/rj,"R$ 65.203,00"
7,agrale,marrua,2010,28-am-150-cs-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2010/28-am-150-cs-turbo-intercooler-diesel-2p-manual/rj,"R$ 62.024,00"
8,agrale,marrua,2009,28-am-100-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2009/28-am-100-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 57.372,00"
9,agrale,marrua,2009,28-am-100-cs-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2009/28-am-100-cs-turbo-intercooler-diesel-2p-manual/rj,"R$ 51.224,00"
10,agrale,marrua,2008,28-am-150-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2008/28-am-150-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 57.455,00"
11,agrale,marrua,2008,28-am-100-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2008/28-am-100-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 52.607,00"
12,agrale,marrua,2007,28-am-100-cd-turbo-intercooler-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2007/28-am-100-cd-turbo-intercooler-diesel-4p-manual/rj,"R$ 50.136,00"
13,agrale,marrua,2007,28-teto-lona-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2007/28-teto-lona-turbo-intercooler-diesel-2p-manual/rj,"R$ 48.602,00"
14,agrale,marrua,2007,28-teto-rigido-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2007/28-teto-rigido-turbo-intercooler-diesel-2p-manual/rj,"R$ 48.602,00"
15,agrale,marrua,2006,28-teto-lona-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2006/28-teto-lona-turbo-intercooler-diesel-2p-manual/rj,"R$ 46.420,00"
16,agrale,marrua,2006,28-teto-rigido-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2006/28-teto-rigido-turbo-intercooler-diesel-2p-manual/rj,"R$ 46.420,00"
17,agrale,marrua,2005,28-teto-lona-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2005/28-teto-lona-turbo-intercooler-diesel-2p-manual/rj,"R$ 42.249,00"
18,agrale,marrua,2005,28-teto-rigido-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2005/28-teto-rigido-turbo-intercooler-diesel-2p-manual/rj,"R$ 42.249,00"
19,agrale,marrua,2004,28-teto-lona-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2004/28-teto-lona-turbo-intercooler-diesel-2p-manual/rj,"R$ 37.025,00"
20,agrale,marrua,2004,28-teto-rigido-turbo-intercooler-diesel-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/agrale/marrua/2004/28-teto-rigido-turbo-intercooler-diesel-2p-manual/rj,"R$ 37.025,00"
