,brand,model,year,car_detail,url,fipe_price
0,alfa-romeo,145,1999,18-elegant-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1999/18-elegant-16v-gasolina-2p-manual/rj,"R$ 26.325,00"
1,alfa-romeo,145,1999,20-quadrifoglio-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1999/20-quadrifoglio-16v-gasolina-2p-manual/rj,"R$ 28.970,00"
2,alfa-romeo,145,1998,18-elegant-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1998/18-elegant-16v-gasolina-2p-manual/rj,"R$ 20.417,00"
3,alfa-romeo,145,1998,20-elegant-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1998/20-elegant-16v-gasolina-2p-manual/rj,"R$ 20.867,00"
4,alfa-romeo,145,1998,20-quadrifoglio-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1998/20-quadrifoglio-16v-gasolina-2p-manual/rj,"R$ 28.263,00"
5,alfa-romeo,145,1997,20-elegant-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1997/20-elegant-16v-gasolina-2p-manual/rj,"R$ 17.429,00"
6,alfa-romeo,145,1997,20-quadrifoglio-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1997/20-quadrifoglio-16v-gasolina-2p-manual/rj,"R$ 22.699,00"
7,alfa-romeo,145,1996,20-elegant-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1996/20-elegant-16v-gasolina-2p-manual/rj,"R$ 17.003,00"
8,alfa-romeo,145,1996,20-quadrifoglio-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1996/20-quadrifoglio-16v-gasolina-2p-manual/rj,"R$ 22.145,00"
9,alfa-romeo,145,1995,20-elegant-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/145/1995/20-elegant-16v-gasolina-2p-manual/rj,"R$ 13.652,00"
10,alfa-romeo,147,2005,20-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/147/2005/20-16v-gasolina-4p-automatico/rj,"R$ 88.793,00"
11,alfa-romeo,147,2005,20-ts-selespeed-16v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/147/2005/20-ts-selespeed-16v-gasolina-2p-automatico/rj,"R$ 88.793,00"
12,alfa-romeo,147,2005,20-ts-selespeed-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/147/2005/20-ts-selespeed-16v-gasolina-4p-automatico/rj,"R$ 88.793,00"
13,alfa-romeo,147,2004,20-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/147/2004/20-16v-gasolina-4p-automatico/rj,"R$ 80.247,00"
14,alfa-romeo,147,2003,20-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/147/2003/20-16v-gasolina-4p-automatico/rj,"R$ 78.289,00"
15,alfa-romeo,155,1997,20-elegant-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1997/20-elegant-16v-gasolina-4p-manual/rj,"R$ 19.431,00"
16,alfa-romeo,155,1997,20-super-ts-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1997/20-super-ts-16v-gasolina-4p-manual/rj,"R$ 24.403,00"
17,alfa-romeo,155,1996,20-elegant-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1996/20-elegant-16v-gasolina-4p-manual/rj,"R$ 18.391,00"
18,alfa-romeo,155,1996,20-super-ts-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1996/20-super-ts-16v-gasolina-4p-manual/rj,"R$ 23.359,00"
19,alfa-romeo,155,1995,20-elegant-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1995/20-elegant-16v-gasolina-4p-manual/rj,"R$ 15.858,00"
20,alfa-romeo,155,1995,20-super-ts-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1995/20-super-ts-16v-gasolina-4p-manual/rj,"R$ 18.698,00"
21,alfa-romeo,155,1995,25-sedan-v6-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/155/1995/25-sedan-v6-12v-gasolina-4p-manual/rj,"R$ 15.858,00"
22,alfa-romeo,156,2004,25-sport-wagon-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/156/2004/25-sport-wagon-v6-24v-gasolina-4p-automatico/rj,"R$ 74.896,00"
23,alfa-romeo,156,2004,25-sport-wagon-v6-24v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/alfa-romeo/156/2004/25-sport-wagon-v6-24v-gasolina-4p-manual/rj,"R$ 74.896,00"
