,brand,model,year,car_detail,url,fipe_price
0,aston-martin,db9,2014,60-v12-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/db9/2014/60-v12-48v-gasolina-2p-automatico/rj,"R$ 953.846,00"
1,aston-martin,db9,2011,60-volante-v12-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/db9/2011/60-volante-v12-48v-gasolina-2p-automatico/rj,"R$ 601.130,00"
2,aston-martin,rapide,2016,60-s-v12-48v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/rapide/2016/60-s-v12-48v-gasolina-4p-automatico/rj,"R$ 1.306.076,00"
3,aston-martin,rapide,2014,60-s-v12-48v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/rapide/2014/60-s-v12-48v-gasolina-4p-automatico/rj,"R$ 1.039.656,00"
4,aston-martin,vantage,2025,40-v8-turbo-gasolina-coupe-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2025/40-v8-turbo-gasolina-coupe-automatico/rj,"R$ 2.216.245,00"
5,aston-martin,vantage,2023,40-v8-turbo-gasolina-f1-edition-roadster-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2023/40-v8-turbo-gasolina-f1-edition-roadster-automatico/rj,"R$ 1.872.075,00"
6,aston-martin,vantage,2023,52-v12-turbo-gasolina-coupe-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2023/52-v12-turbo-gasolina-coupe-automatico/rj,"R$ 3.590.000,00"
7,aston-martin,vantage,2022,40-v8-turbo-gasolina-coupe-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2022/40-v8-turbo-gasolina-coupe-automatico/rj,"R$ 1.725.750,00"
8,aston-martin,vantage,2016,60-v12-s-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2016/60-v12-s-48v-gasolina-2p-automatico/rj,"R$ 1.154.196,00"
9,aston-martin,vantage,2015,60-v12-s-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2015/60-v12-s-48v-gasolina-2p-automatico/rj,"R$ 1.001.013,00"
10,aston-martin,vantage,2014,47-v8-32v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2014/47-v8-32v-gasolina-2p-automatico/rj,"R$ 595.305,00"
11,aston-martin,vantage,2012,47-s-v8-32v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2012/47-s-v8-32v-gasolina-2p-automatico/rj,"R$ 535.369,00"
12,aston-martin,vantage,2012,47-v8-32v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2012/47-v8-32v-gasolina-2p-automatico/rj,"R$ 534.565,00"
13,aston-martin,vantage,2012,47-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2012/47-v8-32v-gasolina-2p-manual/rj,"R$ 534.565,00"
14,aston-martin,vantage,2011,47-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2011/47-v8-32v-gasolina-2p-manual/rj,"R$ 521.526,00"
15,aston-martin,vantage,2011,47-roadster-v8-32v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2011/47-roadster-v8-32v-gasolina-2p-automatico/rj,"R$ 634.026,00"
16,aston-martin,vantage,2011,47-v8-32v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2011/47-v8-32v-gasolina-2p-automatico/rj,"R$ 521.526,00"
17,aston-martin,vantage,2010,47-roadster-v8-32v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vantage/2010/47-roadster-v8-32v-gasolina-2p-automatico/rj,"R$ 488.716,00"
18,aston-martin,vanquish,2016,60-v12-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vanquish/2016/60-v12-48v-gasolina-2p-automatico/rj,"R$ 1.797.039,00"
19,aston-martin,vanquish,2014,60-v12-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/vanquish/2014/60-v12-48v-gasolina-2p-automatico/rj,"R$ 1.627.864,00"
20,aston-martin,virage,2012,60-v12-48v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/aston-martin/virage/2012/60-v12-48v-gasolina-2p-automatico/rj,"R$ 659.288,00"
