,brand,model,year,car_detail,url,fipe_price
0,audi,100,1995,22-s-4-avant-turbo-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1995/22-s-4-avant-turbo-gasolina-4p-manual/rj,"R$ 23.320,00"
1,audi,100,1995,28-avant-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1995/28-avant-v6-gasolina-automatico/rj,"R$ 13.754,00"
2,audi,100,1995,28-v6-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1995/28-v6-gasolina-4p-automatico/rj,"R$ 13.035,00"
3,audi,100,1994,22-s-4-avant-turbo-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1994/22-s-4-avant-turbo-gasolina-4p-manual/rj,"R$ 21.606,00"
4,audi,100,1994,28-avant-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1994/28-avant-v6-gasolina-automatico/rj,"R$ 12.330,00"
5,audi,100,1994,28-v6-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1994/28-v6-gasolina-4p-automatico/rj,"R$ 12.236,00"
6,audi,100,1993,28-v6-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/100/1993/28-v6-gasolina-4p-automatico/rj,"R$ 10.421,00"
7,audi,a1,2018,14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2018/14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic/rj,"R$ 104.394,00"
8,audi,a1,2018,18-tfsi-sportback-ambition-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2018/18-tfsi-sportback-ambition-gasolina-4p-s-tronic/rj,"R$ 124.576,00"
9,audi,a1,2017,14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2017/14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic/rj,"R$ 81.234,00"
10,audi,a1,2017,14-tfsi-sportback-sport-edition-16v-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2017/14-tfsi-sportback-sport-edition-16v-gasolina-4p-s-tronic/rj,"R$ 88.044,00"
11,audi,a1,2017,18-tfsi-sportback-ambition-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2017/18-tfsi-sportback-ambition-gasolina-4p-s-tronic/rj,"R$ 115.820,00"
12,audi,a1,2016,14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2016/14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic/rj,"R$ 79.252,00"
13,audi,a1,2016,14-tfsi-sportback-sport-edition-16v-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2016/14-tfsi-sportback-sport-edition-16v-gasolina-4p-s-tronic/rj,"R$ 82.777,00"
14,audi,a1,2015,14-tfsi-sportback-ambition-16v-185cv-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2015/14-tfsi-sportback-ambition-16v-185cv-gasolina-4p-automatico/rj,"R$ 73.230,00"
15,audi,a1,2015,14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2015/14-tfsi-sportback-attraction-16v-122cv-gasolina-4p-s-tronic/rj,"R$ 72.456,00"
16,audi,a1,2014,14-tfsi-attraction-16v-122cv-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2014/14-tfsi-attraction-16v-122cv-gasolina-4p-automatico/rj,"R$ 69.416,00"
17,audi,a1,2014,14-tfsi-sportback-ambition-16v-185cv-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2014/14-tfsi-sportback-ambition-16v-185cv-gasolina-4p-automatico/rj,"R$ 71.443,00"
18,audi,a1,2014,14-tfsi-sport-16v-185cv-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2014/14-tfsi-sport-16v-185cv-gasolina-2p-automatico/rj,"R$ 72.490,00"
19,audi,a1,2013,14-tfsi-attraction-16v-122cv-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2013/14-tfsi-attraction-16v-122cv-gasolina-4p-automatico/rj,"R$ 67.722,00"
20,audi,a1,2013,14-tfsi-attraction-16v-122cv-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2013/14-tfsi-attraction-16v-122cv-gasolina-2p-automatico/rj,"R$ 69.497,00"
21,audi,a1,2013,14-tfsi-sport-16v-185cv-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2013/14-tfsi-sport-16v-185cv-gasolina-2p-automatico/rj,"R$ 70.203,00"
22,audi,a1,2012,14-tfsi-attraction-16v-122cv-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2012/14-tfsi-attraction-16v-122cv-gasolina-2p-automatico/rj,"R$ 58.504,00"
23,audi,a1,2012,14-tfsi-attraction-16v-122cv-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2012/14-tfsi-attraction-16v-122cv-gasolina-4p-automatico/rj,"R$ 47.311,00"
24,audi,a1,2012,14-tfsi-sport-16v-185cv-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2012/14-tfsi-sport-16v-185cv-gasolina-2p-automatico/rj,"R$ 62.589,00"
25,audi,a1,2011,14-tfsi-attraction-16v-122cv-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2011/14-tfsi-attraction-16v-122cv-gasolina-2p-automatico/rj,"R$ 57.016,00"
26,audi,a1,2011,14-tfsi-attraction-16v-122cv-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/audi/a1/2011/14-tfsi-attraction-16v-122cv-gasolina-4p-automatico/rj,"R$ 44.771,00"
