,brand,model,year,car_detail,url,fipe_price
0,byd,shark,2025,15-turbo-phev-gs-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/byd/shark/2025/15-turbo-phev-gs-awd-automatico/rj,"R$ 376.703,75"
1,byd,song-plus,2025,15-dm-i-hibrido-automatico,https://www.webmotors.com.br/tabela-fipe/carros/byd/song-plus/2025/15-dm-i-hibrido-automatico/rj,"R$ 218.806,00"
2,byd,song-plus,2024,15-dm-i-hibrido-automatico,https://www.webmotors.com.br/tabela-fipe/carros/byd/song-plus/2024/15-dm-i-hibrido-automatico/rj,"R$ 195.270,00"
3,byd,song-plus,2023,15-dm-i-hibrido-automatico,https://www.webmotors.com.br/tabela-fipe/carros/byd/song-plus/2023/15-dm-i-hibrido-automatico/rj,"R$ 189.737,00"
4,byd,han,2025,eletrico-awd,https://www.webmotors.com.br/tabela-fipe/carros/byd/han/2025/eletrico-awd/rj,"R$ 482.410,00"
5,byd,han,2024,eletrico-awd,https://www.webmotors.com.br/tabela-fipe/carros/byd/han/2024/eletrico-awd/rj,"R$ 457.275,00"
6,byd,han,2023,eletrico-awd,https://www.webmotors.com.br/tabela-fipe/carros/byd/han/2023/eletrico-awd/rj,"R$ 411.320,00"
7,byd,han,2022,eletrico-awd,https://www.webmotors.com.br/tabela-fipe/carros/byd/han/2022/eletrico-awd/rj,"R$ 400.215,00"
8,byd,king,2025,15-dm-i-phev-gl-automatico,https://www.webmotors.com.br/tabela-fipe/carros/byd/king/2025/15-dm-i-phev-gl-automatico/rj,"R$ 169.952,00"
9,byd,king,2025,15-dm-i-phev-gs-automatico,https://www.webmotors.com.br/tabela-fipe/carros/byd/king/2025/15-dm-i-phev-gs-automatico/rj,"R$ 183.466,67"
