,brand,model,year,car_detail,url,fipe_price
0,caoa-chery,arrizo-5,2021,15-vvt-turbo-iflex-rt-cvt,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/arrizo-5/2021/15-vvt-turbo-iflex-rt-cvt/rj,"R$ 70.298,00"
1,caoa-chery,arrizo-5,2020,15-vvt-turbo-iflex-rx-cvt,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/arrizo-5/2020/15-vvt-turbo-iflex-rx-cvt/rj,"R$ 63.176,00"
2,caoa-chery,arrizo-5,2020,15-vvt-turbo-iflex-rxt-cvt,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/arrizo-5/2020/15-vvt-turbo-iflex-rxt-cvt/rj,"R$ 72.511,00"
3,caoa-chery,arrizo-5,2019,15-vvt-turbo-iflex-rx-cvt,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/arrizo-5/2019/15-vvt-turbo-iflex-rx-cvt/rj,"R$ 61.635,00"
4,caoa-chery,arrizo-5,2019,15-vvt-turbo-iflex-rxt-cvt,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/arrizo-5/2019/15-vvt-turbo-iflex-rxt-cvt/rj,"R$ 68.039,00"
5,caoa-chery,celer,2018,15-mpfi-16v-flex-act-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2018/15-mpfi-16v-flex-act-4p-manual/rj,"R$ 35.579,00"
6,caoa-chery,celer,2018,15-sedan-16v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2018/15-sedan-16v-flex-4p-manual/rj,"R$ 37.119,00"
7,caoa-chery,celer,2017,15-mpfi-16v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2017/15-mpfi-16v-flex-4p-manual/rj,"R$ 32.168,00"
8,caoa-chery,celer,2017,15-sedan-16v-flex-act-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2017/15-sedan-16v-flex-act-4p-manual/rj,"R$ 33.082,00"
9,caoa-chery,celer,2017,15-sedan-16v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2017/15-sedan-16v-flex-4p-manual/rj,"R$ 33.082,00"
10,caoa-chery,celer,2016,15-mpfi-16v-flex-act-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2016/15-mpfi-16v-flex-act-4p-manual/rj,"R$ 31.708,00"
11,caoa-chery,celer,2016,15-mpfi-16v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/caoa-chery/celer/2016/15-mpfi-16v-flex-4p-manual/rj,"R$ 29.875,00"
