,brand,model,year,car_detail,url,fipe_price
0,chevrolet,3100,1951,39-i6-gasolina-deluxe-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/3100/1951/39-i6-gasolina-deluxe-manual/rj,"R$ 190.000,00"
1,chevrolet,agile,2014,14-mpfi-effect-8v-flex-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2014/14-mpfi-effect-8v-flex-4p-automatizado/rj,"R$ 37.503,00"
2,chevrolet,agile,2014,14-mpfi-ltz-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2014/14-mpfi-ltz-8v-flex-4p-manual/rj,"R$ 37.751,00"
3,chevrolet,agile,2014,14-mpfi-ltz-8v-flex-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2014/14-mpfi-ltz-8v-flex-4p-automatizado/rj,"R$ 37.503,00"
4,chevrolet,agile,2013,14-mpfi-lt-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2013/14-mpfi-lt-8v-flex-4p-manual/rj,"R$ 33.005,00"
5,chevrolet,agile,2013,14-mpfi-ltz-8v-flex-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2013/14-mpfi-ltz-8v-flex-4p-automatizado/rj,"R$ 33.370,00"
6,chevrolet,agile,2013,14-mpfi-ltz-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2013/14-mpfi-ltz-8v-flex-4p-manual/rj,"R$ 34.733,00"
7,chevrolet,agile,2012,14-mpfi-lt-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2012/14-mpfi-lt-8v-flex-4p-manual/rj,"R$ 30.697,00"
8,chevrolet,agile,2012,14-mpfi-ltz-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2012/14-mpfi-ltz-8v-flex-4p-manual/rj,"R$ 32.567,00"
9,chevrolet,agile,2012,14-mpfi-ltz-wifi-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2012/14-mpfi-ltz-wifi-8v-flex-4p-manual/rj,"R$ 32.439,00"
10,chevrolet,agile,2011,14-mpfi-lt-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2011/14-mpfi-lt-8v-flex-4p-manual/rj,"R$ 29.948,00"
11,chevrolet,agile,2011,14-mpfi-ltz-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2011/14-mpfi-ltz-8v-flex-4p-manual/rj,"R$ 31.712,00"
12,chevrolet,agile,2010,14-mpfi-lt-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2010/14-mpfi-lt-8v-flex-4p-manual/rj,"R$ 26.961,00"
13,chevrolet,agile,2010,14-mpfi-ltz-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/agile/2010/14-mpfi-ltz-8v-flex-4p-manual/rj,"R$ 30.649,00"
14,chevrolet,astra,2011,20-mpfi-advantage-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2011/20-mpfi-advantage-8v-flex-4p-manual/rj,"R$ 35.102,00"
15,chevrolet,astra,2011,20-mpfi-advantage-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2011/20-mpfi-advantage-8v-flex-4p-automatico/rj,"R$ 35.216,00"
16,chevrolet,astra,2010,20-mpfi-advantage-sedan-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2010/20-mpfi-advantage-sedan-8v-flex-4p-automatico/rj,"R$ 32.792,00"
17,chevrolet,astra,2010,20-mpfi-advantage-sedan-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2010/20-mpfi-advantage-sedan-8v-flex-4p-manual/rj,"R$ 31.001,00"
18,chevrolet,astra,2010,20-mpfi-advantage-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2010/20-mpfi-advantage-8v-flex-4p-automatico/rj,"R$ 32.496,00"
19,chevrolet,astra,2009,20-mpfi-advantage-sedan-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2009/20-mpfi-advantage-sedan-8v-flex-4p-manual/rj,"R$ 29.397,00"
20,chevrolet,astra,2009,20-mpfi-advantage-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2009/20-mpfi-advantage-8v-flex-4p-manual/rj,"R$ 30.443,00"
21,chevrolet,astra,2009,20-mpfi-advantage-sedan-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2009/20-mpfi-advantage-sedan-8v-flex-4p-automatico/rj,"R$ 29.534,00"
22,chevrolet,astra,2008,20-mpfi-advantage-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2008/20-mpfi-advantage-8v-flex-4p-manual/rj,"R$ 27.458,00"
23,chevrolet,astra,2008,20-mpfi-elegance-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2008/20-mpfi-elegance-8v-flex-4p-manual/rj,"R$ 25.420,00"
24,chevrolet,astra,2008,20-mpfi-elegance-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2008/20-mpfi-elegance-8v-flex-4p-automatico/rj,"R$ 26.696,00"
25,chevrolet,astra,2007,20-mpfi-advantage-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2007/20-mpfi-advantage-8v-flex-2p-manual/rj,"R$ 28.352,00"
26,chevrolet,astra,2007,20-mpfi-elite-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2007/20-mpfi-elite-8v-flex-4p-manual/rj,"R$ 27.411,00"
27,chevrolet,astra,2007,20-mpfi-advantage-sedan-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2007/20-mpfi-advantage-sedan-8v-flex-4p-manual/rj,"R$ 25.559,00"
28,chevrolet,astra,2006,20-mpfi-elite-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2006/20-mpfi-elite-8v-flex-4p-automatico/rj,"R$ 26.251,00"
29,chevrolet,astra,2006,20-mpfi-elite-sedan-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2006/20-mpfi-elite-sedan-8v-flex-4p-manual/rj,"R$ 27.609,00"
30,chevrolet,astra,2006,20-mpfi-elegance-8v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2006/20-mpfi-elegance-8v-flex-4p-automatico/rj,"R$ 22.917,00"
31,chevrolet,astra,2005,20-mpfi-elegance-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2005/20-mpfi-elegance-8v-flex-4p-manual/rj,"R$ 20.755,00"
32,chevrolet,astra,2005,20-mpfi-elite-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2005/20-mpfi-elite-8v-flex-4p-manual/rj,"R$ 22.522,00"
33,chevrolet,astra,2005,20-mpfi-comfort-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2005/20-mpfi-comfort-8v-flex-4p-manual/rj,"R$ 18.769,00"
34,chevrolet,astra,2004,20-mpfi-cd-8v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chevrolet/astra/2004/20-mpfi-cd-8v-gasolina-4p-automatico/rj,"R$ 24.382,00"
