,brand,model,year,car_detail,url,fipe_price
0,chrysler,cirrus,1995,25-lxi-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/cirrus/1995/25-lxi-v6-24v-gasolina-4p-automatico/rj,"R$ 9.150,00"
1,chrysler,neon,2001,20-le-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/2001/20-le-sedan-16v-gasolina-4p-automatico/rj,"R$ 14.533,00"
2,chrysler,neon,2000,20-le-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/2000/20-le-sedan-16v-gasolina-4p-automatico/rj,"R$ 13.405,00"
3,chrysler,neon,1999,18-le-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1999/18-le-sedan-16v-gasolina-4p-automatico/rj,"R$ 10.643,00"
4,chrysler,neon,1999,18-le-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1999/18-le-sedan-16v-gasolina-4p-manual/rj,"R$ 10.643,00"
5,chrysler,neon,1999,20-le-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1999/20-le-sedan-16v-gasolina-4p-automatico/rj,"R$ 11.900,00"
6,chrysler,neon,1998,18-le-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1998/18-le-sedan-16v-gasolina-4p-manual/rj,"R$ 10.104,00"
7,chrysler,neon,1998,20-le-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1998/20-le-sedan-16v-gasolina-4p-automatico/rj,"R$ 10.222,00"
8,chrysler,neon,1998,18-le-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1998/18-le-sedan-16v-gasolina-4p-automatico/rj,"R$ 10.104,00"
9,chrysler,neon,1997,18-le-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/chrysler/neon/1997/18-le-sedan-16v-gasolina-4p-manual/rj,"R$ 8.467,00"
