,brand,model,year,car_detail,url,fipe_price
0,citroen,aircross,2021,16-vti-120-flex-live-eat6,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2021/16-vti-120-flex-live-eat6/rj,"R$ 67.192,00"
1,citroen,aircross,2020,16-vti-120-flex-live-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2020/16-vti-120-flex-live-manual/rj,"R$ 58.820,00"
2,citroen,aircross,2020,16-vti-120-flex-start-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2020/16-vti-120-flex-start-manual/rj,"R$ 55.016,00"
3,citroen,aircross,2020,16-vti-120-flex-100-anos-eat6,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2020/16-vti-120-flex-100-anos-eat6/rj,"R$ 64.135,00"
4,citroen,aircross,2019,16-vti-120-flex-live-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2019/16-vti-120-flex-live-manual/rj,"R$ 55.602,00"
5,citroen,aircross,2019,16-vti-120-flex-shine-eat6,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2019/16-vti-120-flex-shine-eat6/rj,"R$ 62.848,00"
6,citroen,aircross,2019,16-vti-120-flex-start-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2019/16-vti-120-flex-start-manual/rj,"R$ 53.674,00"
7,citroen,aircross,2018,16-vti-120-flex-shine-eat6,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2018/16-vti-120-flex-shine-eat6/rj,"R$ 58.085,00"
8,citroen,aircross,2018,16-vti-120-flex-live-eat6,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2018/16-vti-120-flex-live-eat6/rj,"R$ 54.872,00"
9,citroen,aircross,2018,16-vti-120-flex-feel-eat6,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2018/16-vti-120-flex-feel-eat6/rj,"R$ 55.872,00"
10,citroen,aircross,2017,16-salomon-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2017/16-salomon-16v-flex-4p-automatico/rj,"R$ 51.674,00"
11,citroen,aircross,2017,16-feel-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2017/16-feel-16v-flex-4p-automatico/rj,"R$ 54.359,00"
12,citroen,aircross,2017,15-live-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2017/15-live-8v-flex-4p-manual/rj,"R$ 50.312,00"
13,citroen,aircross,2016,16-feel-16v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2016/16-feel-16v-flex-4p-manual/rj,"R$ 50.211,00"
14,citroen,aircross,2016,15-live-8v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2016/15-live-8v-flex-4p-manual/rj,"R$ 48.208,00"
15,citroen,aircross,2016,16-shine-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/citroen/aircross/2016/16-shine-16v-flex-4p-automatico/rj,"R$ 51.770,00"
