,brand,model,year,car_detail,url,fipe_price
0,ferrari,348,1994,34-ts-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/348/1994/34-ts-v8-32v-gasolina-2p-manual/rj,"R$ 180.014,00"
1,ferrari,348,1994,34-tb-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/348/1994/34-tb-v8-32v-gasolina-2p-manual/rj,"R$ 180.014,00"
2,ferrari,348,1994,34-gts-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/348/1994/34-gts-v8-32v-gasolina-2p-manual/rj,"R$ 183.661,00"
3,ferrari,348,1993,34-ts-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/348/1993/34-ts-v8-32v-gasolina-2p-manual/rj,"R$ 157.848,00"
4,ferrari,348,1993,34-gts-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/348/1993/34-gts-v8-32v-gasolina-2p-manual/rj,"R$ 161.211,00"
5,ferrari,348,1993,34-spider-v8-32v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/348/1993/34-spider-v8-32v-gasolina-2p-manual/rj,"R$ 167.868,00"
6,ferrari,488-gtb,2019,39-v8-turbo-gasolina-f1-dct,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/488-gtb/2019/39-v8-turbo-gasolina-f1-dct/rj,"R$ 3.353.607,00"
7,ferrari,488-gtb,2018,39-v8-turbo-gasolina-f1-dct,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/488-gtb/2018/39-v8-turbo-gasolina-f1-dct/rj,"R$ 2.946.441,00"
8,ferrari,488-gtb,2017,39-v8-turbo-gasolina-f1-dct,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/488-gtb/2017/39-v8-turbo-gasolina-f1-dct/rj,"R$ 2.830.529,00"
9,ferrari,488-gtb,2016,39-v8-turbo-gasolina-f1-dct,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/488-gtb/2016/39-v8-turbo-gasolina-f1-dct/rj,"R$ 2.761.491,00"
10,ferrari,575m-maranello,2005,57-v12-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/575m-maranello/2005/57-v12-gasolina-manual/rj,"R$ 785.412,00"
11,ferrari,575m-maranello,2004,57-v12-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/575m-maranello/2004/57-v12-gasolina-manual/rj,"R$ 689.965,00"
12,ferrari,575m-maranello,2003,57-v12-gasolina-f1,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/575m-maranello/2003/57-v12-gasolina-f1/rj,"R$ 645.525,00"
13,ferrari,575m-maranello,2003,57-v12-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/575m-maranello/2003/57-v12-gasolina-manual/rj,"R$ 645.525,00"
14,ferrari,599-gtb-fiorano,2011,60-fiorano-v12-48v-gasolina-2p-f1-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/599-gtb-fiorano/2011/60-fiorano-v12-48v-gasolina-2p-f1-automatico/rj,"R$ 2.018.547,00"
15,ferrari,599-gtb-fiorano,2010,60-fiorano-v12-48v-gasolina-2p-f1-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/599-gtb-fiorano/2010/60-fiorano-v12-48v-gasolina-2p-f1-automatico/rj,"R$ 1.969.314,00"
16,ferrari,599-gtb-fiorano,2009,60-fiorano-v12-48v-gasolina-2p-f1-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ferrari/599-gtb-fiorano/2009/60-fiorano-v12-48v-gasolina-2p-f1-automatico/rj,"R$ 1.921.281,00"
