,brand,model,year,car_detail,url,fipe_price
0,ford,aerostar,1995,38-mini-van-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aerostar/1995/38-mini-van-v8-gasolina-4p-automatico/rj,"R$ 15.093,00"
1,ford,aerostar,1994,38-mini-van-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aerostar/1994/38-mini-van-v8-gasolina-4p-automatico/rj,"R$ 12.964,00"
2,ford,aerostar,1993,38-mini-van-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aerostar/1993/38-mini-van-v8-gasolina-4p-automatico/rj,"R$ 12.605,00"
3,ford,aerostar,1992,38-mini-van-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aerostar/1992/38-mini-van-v8-gasolina-4p-automatico/rj,"R$ 12.025,00"
4,ford,aerostar,1991,38-mini-van-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aerostar/1991/38-mini-van-v8-gasolina-4p-automatico/rj,"R$ 11.547,00"
5,ford,aerostar,1990,38-mini-van-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aerostar/1990/38-mini-van-v8-gasolina-4p-automatico/rj,"R$ 10.109,00"
6,ford,aspire,1995,13-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aspire/1995/13-gasolina-2p-automatico/rj,"R$ 4.924,00"
7,ford,aspire,1995,13-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/aspire/1995/13-gasolina-4p-automatico/rj,"R$ 4.924,00"
8,ford,aspire,1995,13-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/aspire/1995/13-gasolina-2p-manual/rj,"R$ 4.924,00"
9,ford,belina,1990,18-ghia-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/belina/1990/18-ghia-8v-gasolina-2p-manual/rj,"R$ 6.780,00"
10,ford,belina,1986,16-ii-luxo-4x4-8v-alcool-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/belina/1986/16-ii-luxo-4x4-8v-alcool-2p-manual/rj,"R$ 3.217,00"
11,ford,belina,1986,18-ii-gl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/belina/1986/18-ii-gl-8v-gasolina-2p-manual/rj,"R$ 4.734,00"
12,ford,belina,1985,16-ii-luxo-4x4-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/belina/1985/16-ii-luxo-4x4-8v-gasolina-2p-manual/rj,"R$ 2.919,00"
13,ford,belina,1985,18-ii-gl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/belina/1985/18-ii-gl-8v-gasolina-2p-manual/rj,"R$ 3.468,00"
14,ford,bronco-sport,2024,20-ecoboost-gasolina-wildtrak-4x4-selectshift,https://www.webmotors.com.br/tabela-fipe/carros/ford/bronco-sport/2024/20-ecoboost-gasolina-wildtrak-4x4-selectshift/rj,"R$ 226.115,00"
15,ford,bronco-sport,2023,20-ecoboost-gasolina-wildtrak-4x4-selectshift,https://www.webmotors.com.br/tabela-fipe/carros/ford/bronco-sport/2023/20-ecoboost-gasolina-wildtrak-4x4-selectshift/rj,"R$ 209.314,00"
16,ford,bronco-sport,2022,20-ecoboost-gasolina-wildtrak-4x4-selectshift,https://www.webmotors.com.br/tabela-fipe/carros/ford/bronco-sport/2022/20-ecoboost-gasolina-wildtrak-4x4-selectshift/rj,"R$ 185.939,00"
17,ford,bronco-sport,2021,20-ecoboost-gasolina-wildtrak-4x4-selectshift,https://www.webmotors.com.br/tabela-fipe/carros/ford/bronco-sport/2021/20-ecoboost-gasolina-wildtrak-4x4-selectshift/rj,"R$ 169.351,00"
18,ford,contour,1995,20-se-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/contour/1995/20-se-16v-gasolina-4p-automatico/rj,"R$ 12.246,00"
19,ford,contour,1995,25-se-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/contour/1995/25-se-24v-gasolina-4p-automatico/rj,"R$ 12.963,00"
20,ford,contour,1995,25-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/contour/1995/25-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 12.963,00"
21,ford,corcel,1977,14-luxo-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/corcel/1977/14-luxo-8v-gasolina-2p-manual/rj,"R$ 36.000,00"
22,ford,corcel,1976,14-gt-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/corcel/1976/14-gt-gasolina-2p-manual/rj,"R$ 37.266,67"
23,ford,courier,2013,16-l-8v-flex-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2013/16-l-8v-flex-manual/rj,"R$ 34.054,00"
24,ford,courier,2013,16-xl-8v-flex-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2013/16-xl-8v-flex-manual/rj,"R$ 37.723,00"
25,ford,courier,2012,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2012/16-mpi-l-8v-flex-2p-manual/rj,"R$ 33.223,00"
26,ford,courier,2012,16-mpi-l-van-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2012/16-mpi-l-van-8v-flex-2p-manual/rj,"R$ 33.952,00"
27,ford,courier,2012,16-mpi-xl-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2012/16-mpi-xl-8v-flex-2p-manual/rj,"R$ 36.802,00"
28,ford,courier,2011,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2011/16-mpi-l-8v-flex-2p-manual/rj,"R$ 30.316,00"
29,ford,courier,2011,16-mpi-l-van-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2011/16-mpi-l-van-8v-flex-2p-manual/rj,"R$ 31.195,00"
30,ford,courier,2011,16-mpi-xl-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2011/16-mpi-xl-8v-flex-2p-manual/rj,"R$ 35.904,00"
31,ford,courier,2010,16-mpi-l-van-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2010/16-mpi-l-van-8v-flex-2p-manual/rj,"R$ 28.707,00"
32,ford,courier,2010,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2010/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 29.576,00"
33,ford,courier,2010,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2010/16-mpi-l-8v-flex-2p-manual/rj,"R$ 29.576,00"
34,ford,courier,2009,16-mpi-l-van-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2009/16-mpi-l-van-8v-flex-2p-manual/rj,"R$ 26.587,00"
35,ford,courier,2009,16-mpi-xl-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2009/16-mpi-xl-8v-flex-2p-manual/rj,"R$ 32.630,00"
36,ford,courier,2009,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2009/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 28.522,00"
37,ford,courier,2008,16-mpi-l-van-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2008/16-mpi-l-van-8v-flex-2p-manual/rj,"R$ 25.938,00"
38,ford,courier,2008,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2008/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 25.828,00"
39,ford,courier,2008,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2008/16-mpi-l-8v-flex-2p-manual/rj,"R$ 25.828,00"
40,ford,courier,2007,16-mpi-xl-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2007/16-mpi-xl-8v-flex-2p-manual/rj,"R$ 30.439,00"
41,ford,courier,2007,16-mpi-van-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2007/16-mpi-van-8v-gasolina-2p-manual/rj,"R$ 23.257,00"
42,ford,courier,2007,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2007/16-mpi-l-8v-flex-2p-manual/rj,"R$ 25.198,00"
43,ford,courier,2006,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2006/16-mpi-l-8v-flex-2p-manual/rj,"R$ 24.413,00"
44,ford,courier,2005,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2005/16-mpi-l-8v-flex-2p-manual/rj,"R$ 23.817,00"
45,ford,courier,2005,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2005/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 23.817,00"
46,ford,courier,2005,16-mpi-xl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2005/16-mpi-xl-8v-gasolina-2p-manual/rj,"R$ 25.489,00"
47,ford,courier,2004,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2004/16-mpi-l-8v-flex-2p-manual/rj,"R$ 21.360,00"
48,ford,courier,2004,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2004/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 21.360,00"
49,ford,courier,2004,16-mpi-xl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2004/16-mpi-xl-8v-gasolina-2p-manual/rj,"R$ 24.867,00"
50,ford,courier,2003,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2003/16-mpi-l-8v-flex-2p-manual/rj,"R$ 20.839,00"
51,ford,courier,2003,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2003/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 20.839,00"
52,ford,courier,2002,16-mpi-l-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2002/16-mpi-l-8v-gasolina-2p-manual/rj,"R$ 20.075,00"
53,ford,courier,2002,16-mpi-xl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2002/16-mpi-xl-8v-gasolina-2p-manual/rj,"R$ 22.342,00"
54,ford,courier,2002,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2002/16-mpi-l-8v-flex-2p-manual/rj,"R$ 20.075,00"
55,ford,courier,2001,16-mpi-sport-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2001/16-mpi-sport-8v-gasolina-2p-manual/rj,"R$ 16.650,00"
56,ford,courier,2001,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2001/16-mpi-l-8v-flex-2p-manual/rj,"R$ 19.530,00"
57,ford,courier,2001,16-mpi-xl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2001/16-mpi-xl-8v-gasolina-2p-manual/rj,"R$ 21.683,00"
58,ford,courier,2000,13-mpi-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2000/13-mpi-8v-gasolina-2p-manual/rj,"R$ 13.435,00"
59,ford,courier,2000,16-mpi-l-8v-flex-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2000/16-mpi-l-8v-flex-2p-manual/rj,"R$ 15.976,00"
60,ford,courier,2000,16-mpi-xl-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/2000/16-mpi-xl-8v-gasolina-2p-manual/rj,"R$ 20.544,00"
61,ford,courier,1999,14-mpi-si-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1999/14-mpi-si-16v-gasolina-2p-manual/rj,"R$ 12.927,00"
62,ford,courier,1999,14-mpi-clx-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1999/14-mpi-clx-16v-gasolina-2p-manual/rj,"R$ 13.435,00"
63,ford,courier,1998,13-mpi-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1998/13-mpi-8v-gasolina-2p-manual/rj,"R$ 12.787,00"
64,ford,courier,1998,14-mpi-clx-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1998/14-mpi-clx-16v-gasolina-2p-manual/rj,"R$ 13.038,00"
65,ford,courier,1998,14-mpi-si-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1998/14-mpi-si-16v-gasolina-2p-manual/rj,"R$ 12.611,00"
66,ford,courier,1997,13-mpi-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1997/13-mpi-8v-gasolina-2p-manual/rj,"R$ 9.269,00"
67,ford,courier,1997,14-mpi-si-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/ford/courier/1997/14-mpi-si-16v-gasolina-2p-manual/rj,"R$ 9.430,00"
68,ford,crown-victoria,1992,46-lx-v8-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/ford/crown-victoria/1992/46-lx-v8-gasolina-4p-automatico/rj,"R$ 20.179,00"
