,brand,model,year,car_detail,url,fipe_price
0,gurgel,br-800,1992,08-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/br-800/1992/08-2-cilindros-gasolina-2p-manual/rj,"R$ 17.749,00"
1,gurgel,br-800,1991,08-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/br-800/1991/08-2-cilindros-gasolina-2p-manual/rj,"R$ 16.904,00"
2,gurgel,br-800,1990,08-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/br-800/1990/08-2-cilindros-gasolina-2p-manual/rj,"R$ 13.237,00"
3,gurgel,br-800,1989,08-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/br-800/1989/08-2-cilindros-gasolina-2p-manual/rj,"R$ 9.854,00"
4,gurgel,br-800,1988,08-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/br-800/1988/08-2-cilindros-gasolina-2p-manual/rj,"R$ 6.231,00"
5,gurgel,carajas,1991,18-x15-vip-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1991/18-x15-vip-8v-gasolina-2p-manual/rj,"R$ 25.414,00"
6,gurgel,carajas,1990,18-x15-vip-8v-alcool-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1990/18-x15-vip-8v-alcool-2p-manual/rj,"R$ 24.794,00"
7,gurgel,carajas,1990,18-x15-vip-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1990/18-x15-vip-8v-gasolina-2p-manual/rj,"R$ 24.794,00"
8,gurgel,carajas,1989,18-x15-vip-8v-alcool-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1989/18-x15-vip-8v-alcool-2p-manual/rj,"R$ 24.189,00"
9,gurgel,carajas,1989,18-x15-tr-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1989/18-x15-tr-8v-gasolina-2p-manual/rj,"R$ 24.189,00"
10,gurgel,carajas,1989,18-x15-vip-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1989/18-x15-vip-8v-gasolina-2p-manual/rj,"R$ 24.189,00"
11,gurgel,carajas,1988,18-x15-vip-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1988/18-x15-vip-8v-gasolina-2p-manual/rj,"R$ 23.599,00"
12,gurgel,carajas,1988,18-x15-tr-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1988/18-x15-tr-8v-gasolina-2p-manual/rj,"R$ 23.599,00"
13,gurgel,carajas,1987,18-x15-vip-8v-alcool-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1987/18-x15-vip-8v-alcool-2p-manual/rj,"R$ 23.023,00"
14,gurgel,carajas,1987,18-x15-tr-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1987/18-x15-tr-8v-gasolina-2p-manual/rj,"R$ 23.023,00"
15,gurgel,carajas,1986,18-x15-vip-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1986/18-x15-vip-8v-gasolina-2p-manual/rj,"R$ 21.563,00"
16,gurgel,carajas,1986,18-x15-tr-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1986/18-x15-tr-8v-gasolina-2p-manual/rj,"R$ 21.563,00"
17,gurgel,carajas,1985,18-x15-vip-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1985/18-x15-vip-8v-gasolina-2p-manual/rj,"R$ 20.706,00"
18,gurgel,carajas,1985,18-x15-tr-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/carajas/1985/18-x15-tr-8v-gasolina-2p-manual/rj,"R$ 20.706,00"
19,gurgel,supermini,1993,08-sl-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/supermini/1993/08-sl-2-cilindros-gasolina-2p-manual/rj,"R$ 18.193,00"
20,gurgel,supermini,1992,08-sl-2-cilindros-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/supermini/1992/08-sl-2-cilindros-gasolina-2p-manual/rj,"R$ 17.749,00"
21,gurgel,x12,1994,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1994/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 27.370,00"
22,gurgel,x12,1994,16-xavante-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1994/16-xavante-8v-gasolina-2p-manual/rj,"R$ 27.370,00"
23,gurgel,x12,1994,18-tr-plus-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1994/18-tr-plus-8v-gasolina-2p-manual/rj,"R$ 27.370,00"
24,gurgel,x12,1993,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1993/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 26.702,00"
25,gurgel,x12,1993,16-xavante-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1993/16-xavante-8v-gasolina-2p-manual/rj,"R$ 26.702,00"
26,gurgel,x12,1993,18-tr-plus-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1993/18-tr-plus-8v-gasolina-2p-manual/rj,"R$ 26.702,00"
27,gurgel,x12,1992,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1992/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 26.050,00"
28,gurgel,x12,1992,16-xavante-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1992/16-xavante-8v-gasolina-2p-manual/rj,"R$ 26.050,00"
29,gurgel,x12,1992,18-tr-plus-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1992/18-tr-plus-8v-gasolina-2p-manual/rj,"R$ 26.050,00"
30,gurgel,x12,1991,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1991/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 25.414,00"
31,gurgel,x12,1991,16-xavante-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1991/16-xavante-8v-gasolina-2p-manual/rj,"R$ 25.414,00"
32,gurgel,x12,1991,18-tr-plus-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1991/18-tr-plus-8v-gasolina-2p-manual/rj,"R$ 25.414,00"
33,gurgel,x12,1990,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1990/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 24.794,00"
34,gurgel,x12,1990,16-xavante-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1990/16-xavante-8v-gasolina-2p-manual/rj,"R$ 24.794,00"
35,gurgel,x12,1990,18-tr-plus-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1990/18-tr-plus-8v-gasolina-2p-manual/rj,"R$ 24.794,00"
36,gurgel,x12,1989,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1989/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 24.189,00"
37,gurgel,x12,1989,16-xavante-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1989/16-xavante-8v-gasolina-2p-manual/rj,"R$ 24.189,00"
38,gurgel,x12,1989,18-tr-plus-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1989/18-tr-plus-8v-gasolina-2p-manual/rj,"R$ 24.189,00"
39,gurgel,x12,1988,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1988/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 23.599,00"
40,gurgel,x12,1987,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1987/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 23.023,00"
41,gurgel,x12,1986,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1986/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 21.563,00"
42,gurgel,x12,1985,16-le-tocantis-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/gurgel/x12/1985/16-le-tocantis-8v-gasolina-2p-manual/rj,"R$ 20.706,00"
