,brand,model,year,car_detail,url,fipe_price
0,honda,accord,2020,20-vtec-turbo-gasolina-touring-10at,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2020/20-vtec-turbo-gasolina-touring-10at/rj,"R$ 193.342,00"
1,honda,accord,2019,20-vtec-turbo-gasolina-touring-10at,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2019/20-vtec-turbo-gasolina-touring-10at/rj,"R$ 167.816,00"
2,honda,accord,2018,20-vtec-turbo-gasolina-touring-10at,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2018/20-vtec-turbo-gasolina-touring-10at/rj,"R$ 153.391,00"
3,honda,accord,2015,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2015/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 89.139,00"
4,honda,accord,2014,24-ex-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2014/24-ex-16v-gasolina-4p-automatico/rj,"R$ 74.956,00"
5,honda,accord,2014,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2014/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 86.252,00"
6,honda,accord,2013,24-ex-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2013/24-ex-16v-gasolina-4p-automatico/rj,"R$ 61.600,00"
7,honda,accord,2013,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2013/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 84.148,00"
8,honda,accord,2012,20-ex-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2012/20-ex-16v-gasolina-4p-automatico/rj,"R$ 69.454,00"
9,honda,accord,2012,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2012/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 63.312,00"
10,honda,accord,2011,20-ex-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2011/20-ex-16v-gasolina-4p-automatico/rj,"R$ 48.652,00"
11,honda,accord,2011,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2011/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 54.534,00"
12,honda,accord,2010,35-ex-l-coupe-v6-24v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2010/35-ex-l-coupe-v6-24v-gasolina-2p-manual/rj,"R$ 51.641,00"
13,honda,accord,2010,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2010/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 51.641,00"
14,honda,accord,2010,35-ex-l-coupe-v6-24v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2010/35-ex-l-coupe-v6-24v-gasolina-2p-automatico/rj,"R$ 51.641,00"
15,honda,accord,2009,35-ex-l-coupe-v6-24v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2009/35-ex-l-coupe-v6-24v-gasolina-2p-manual/rj,"R$ 50.381,00"
16,honda,accord,2009,35-ex-l-coupe-v6-24v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2009/35-ex-l-coupe-v6-24v-gasolina-2p-automatico/rj,"R$ 50.381,00"
17,honda,accord,2009,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2009/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 50.381,00"
18,honda,accord,2008,20-lx-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2008/20-lx-16v-gasolina-4p-automatico/rj,"R$ 37.823,00"
19,honda,accord,2008,35-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2008/35-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 49.152,00"
20,honda,accord,2007,20-lx-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2007/20-lx-16v-gasolina-4p-automatico/rj,"R$ 31.835,00"
21,honda,accord,2007,30-ex-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2007/30-ex-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 33.587,00"
22,honda,accord,2007,30-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2007/30-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 33.587,00"
23,honda,accord,2006,20-lx-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2006/20-lx-16v-gasolina-4p-automatico/rj,"R$ 31.058,00"
24,honda,accord,2006,30-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2006/30-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 32.647,00"
25,honda,accord,2005,24-lx-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2005/24-lx-16v-gasolina-4p-automatico/rj,"R$ 25.897,00"
26,honda,accord,2005,30-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2005/30-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 28.821,00"
27,honda,accord,2004,24-ex-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2004/24-ex-16v-gasolina-4p-automatico/rj,"R$ 26.107,00"
28,honda,accord,2004,30-ex-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2004/30-ex-v6-24v-gasolina-4p-automatico/rj,"R$ 28.118,00"
29,honda,accord,2003,23-ex-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/honda/accord/2003/23-ex-16v-gasolina-4p-automatico/rj,"R$ 25.470,00"
