,brand,model,year,car_detail,url,fipe_price
0,hyundai,accent,2001,15-gls-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/2001/15-gls-sedan-16v-gasolina-4p-automatico/rj,"R$ 13.544,00"
1,hyundai,accent,2001,15-gls-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/2001/15-gls-sedan-16v-gasolina-4p-manual/rj,"R$ 10.228,00"
2,hyundai,accent,2001,15-gls-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/2001/15-gls-16v-gasolina-4p-manual/rj,"R$ 10.228,00"
3,hyundai,accent,2000,15-gls-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/2000/15-gls-sedan-16v-gasolina-4p-automatico/rj,"R$ 11.757,00"
4,hyundai,accent,2000,15-gls-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/2000/15-gls-16v-gasolina-4p-manual/rj,"R$ 9.978,00"
5,hyundai,accent,2000,15-gls-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/2000/15-gls-16v-gasolina-4p-automatico/rj,"R$ 11.757,00"
6,hyundai,accent,1999,15-gls-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1999/15-gls-16v-gasolina-4p-automatico/rj,"R$ 8.645,00"
7,hyundai,accent,1999,15-gls-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1999/15-gls-16v-gasolina-4p-manual/rj,"R$ 8.021,00"
8,hyundai,accent,1999,15-gls-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1999/15-gls-sedan-16v-gasolina-4p-manual/rj,"R$ 8.021,00"
9,hyundai,accent,1998,15-gls-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1998/15-gls-sedan-16v-gasolina-4p-manual/rj,"R$ 7.683,00"
10,hyundai,accent,1998,15-gls-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1998/15-gls-16v-gasolina-4p-manual/rj,"R$ 7.683,00"
11,hyundai,accent,1998,15-gls-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1998/15-gls-16v-gasolina-4p-automatico/rj,"R$ 8.389,00"
12,hyundai,accent,1997,15-gls-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1997/15-gls-sedan-16v-gasolina-4p-automatico/rj,"R$ 7.386,00"
13,hyundai,accent,1997,15-glsr-sedan-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1997/15-glsr-sedan-12v-gasolina-4p-manual/rj,"R$ 7.298,00"
14,hyundai,accent,1997,15-gls-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1997/15-gls-16v-gasolina-4p-automatico/rj,"R$ 7.386,00"
15,hyundai,accent,1996,15-glsr-sedan-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1996/15-glsr-sedan-12v-gasolina-4p-manual/rj,"R$ 5.677,00"
16,hyundai,accent,1995,15-ls-sedan-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1995/15-ls-sedan-12v-gasolina-4p-manual/rj,"R$ 5.083,00"
17,hyundai,accent,1995,15-gls-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1995/15-gls-16v-gasolina-4p-manual/rj,"R$ 5.438,00"
18,hyundai,accent,1995,15-coupe-12v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/accent/1995/15-coupe-12v-gasolina-2p-manual/rj,"R$ 4.973,00"
19,hyundai,atos,2003,10-gls-prime-12v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2003/10-gls-prime-12v-gasolina-4p-automatico/rj,"R$ 18.735,00"
20,hyundai,atos,2002,10-gls-prime-12v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2002/10-gls-prime-12v-gasolina-4p-automatico/rj,"R$ 15.754,00"
21,hyundai,atos,2002,10-gls-prime-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2002/10-gls-prime-12v-gasolina-4p-manual/rj,"R$ 11.824,00"
22,hyundai,atos,2001,10-gls-prime-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2001/10-gls-prime-12v-gasolina-4p-manual/rj,"R$ 11.058,00"
23,hyundai,atos,2001,10-gls-prime-12v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2001/10-gls-prime-12v-gasolina-4p-automatico/rj,"R$ 15.369,00"
24,hyundai,atos,2001,10-gl-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2001/10-gl-12v-gasolina-4p-manual/rj,"R$ 11.290,00"
25,hyundai,atos,2000,10-gls-prime-12v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2000/10-gls-prime-12v-gasolina-4p-automatico/rj,"R$ 13.757,00"
26,hyundai,atos,2000,10-gls-prime-12v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/atos/2000/10-gls-prime-12v-gasolina-4p-manual/rj,"R$ 10.788,00"
27,hyundai,azera,2020,30-v6-gdi-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2020/30-v6-gdi-gasolina-automatico/rj,"R$ 205.850,00"
28,hyundai,azera,2017,30-mpfi-gls-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2017/30-mpfi-gls-v6-24v-gasolina-4p-automatico/rj,"R$ 111.970,00"
29,hyundai,azera,2016,30-mpfi-gls-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2016/30-mpfi-gls-v6-24v-gasolina-4p-automatico/rj,"R$ 102.468,00"
30,hyundai,azera,2015,30-mpfi-gls-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2015/30-mpfi-gls-v6-24v-gasolina-4p-automatico/rj,"R$ 85.306,00"
31,hyundai,azera,2014,30-mpfi-gls-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2014/30-mpfi-gls-v6-24v-gasolina-4p-automatico/rj,"R$ 75.678,00"
32,hyundai,azera,2013,30-mpfi-gls-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2013/30-mpfi-gls-v6-24v-gasolina-4p-automatico/rj,"R$ 72.389,00"
33,hyundai,azera,2012,30-mpfi-gls-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2012/30-mpfi-gls-v6-24v-gasolina-4p-automatico/rj,"R$ 69.228,00"
34,hyundai,azera,2011,33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2011/33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 46.592,00"
35,hyundai,azera,2010,33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2010/33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 40.034,00"
36,hyundai,azera,2009,33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2009/33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 37.295,00"
37,hyundai,azera,2008,33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2008/33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 35.300,00"
38,hyundai,azera,2007,33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/azera/2007/33-mpfi-gls-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 29.285,00"
39,hyundai,creta,2025,16-16v-flex-action-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2025/16-16v-flex-action-automatico/rj,"R$ 111.770,00"
40,hyundai,creta,2025,20-flex-ultimate-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2025/20-flex-ultimate-automatico/rj,"R$ 164.824,00"
41,hyundai,creta,2025,10-tgdi-flex-limited-safety-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2025/10-tgdi-flex-limited-safety-automatico/rj,"R$ 137.369,00"
42,hyundai,creta,2024,10-tgdi-flex-limited-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2024/10-tgdi-flex-limited-automatico/rj,"R$ 129.100,00"
43,hyundai,creta,2024,20-flex-n-line-night-edition-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2024/20-flex-n-line-night-edition-automatico/rj,"R$ 155.710,00"
44,hyundai,creta,2024,10-tgdi-flex-platinum-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2024/10-tgdi-flex-platinum-automatico/rj,"R$ 143.040,00"
45,hyundai,creta,2023,10-tgdi-flex-comfort-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2023/10-tgdi-flex-comfort-automatico/rj,"R$ 114.987,00"
46,hyundai,creta,2023,20-flex-ultimate-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2023/20-flex-ultimate-automatico/rj,"R$ 142.105,00"
47,hyundai,creta,2023,10-tgdi-flex-platinum-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2023/10-tgdi-flex-platinum-automatico/rj,"R$ 130.105,00"
48,hyundai,creta,2022,10-tgdi-flex-comfort-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2022/10-tgdi-flex-comfort-automatico/rj,"R$ 109.640,00"
49,hyundai,creta,2022,10-tgdi-flex-platinum-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2022/10-tgdi-flex-platinum-automatico/rj,"R$ 125.782,00"
50,hyundai,creta,2022,20-flex-ultimate-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2022/20-flex-ultimate-automatico/rj,"R$ 135.419,00"
51,hyundai,creta,2021,16-16v-flex-attitude-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2021/16-16v-flex-attitude-automatico/rj,"R$ 87.440,00"
52,hyundai,creta,2021,16-16v-flex-limited-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2021/16-16v-flex-limited-automatico/rj,"R$ 99.926,00"
53,hyundai,creta,2021,16-16v-flex-action-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2021/16-16v-flex-action-automatico/rj,"R$ 90.300,00"
54,hyundai,creta,2020,20-16v-flex-prestige-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2020/20-16v-flex-prestige-automatico/rj,"R$ 98.286,00"
55,hyundai,creta,2020,16-16v-flex-pulse-plus-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2020/16-16v-flex-pulse-plus-automatico/rj,"R$ 90.755,00"
56,hyundai,creta,2020,16-16v-flex-attitude-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2020/16-16v-flex-attitude-manual/rj,"R$ 84.119,00"
57,hyundai,creta,2019,20-16v-flex-sport-automatico,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2019/20-16v-flex-sport-automatico/rj,"R$ 90.023,00"
58,hyundai,creta,2019,16-16v-flex-attitude-manual,https://www.webmotors.com.br/tabela-fipe/carros/hyundai/creta/2019/16-16v-flex-attitude-manual/rj,"R$ 79.774,00"
