,brand,model,year,car_detail,url,fipe_price
0,jaguar,f-pace,2025,20-p400e-phev-r-dynamic-se-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2025/20-p400e-phev-r-dynamic-se-awd-automatico/rj,"R$ 572.289,00"
1,jaguar,f-pace,2024,20-p400e-phev-r-dynamic-se-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2024/20-p400e-phev-r-dynamic-se-awd-automatico/rj,"R$ 499.768,00"
2,jaguar,f-pace,2024,50-v8-supercharged-svr-awd-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2024/50-v8-supercharged-svr-awd-4p-automatico/rj,"R$ 791.293,00"
3,jaguar,f-pace,2023,20-p400e-phev-r-dynamic-s-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2023/20-p400e-phev-r-dynamic-s-awd-automatico/rj,"R$ 484.500,00"
4,jaguar,f-pace,2023,20-p400e-phev-r-dynamic-se-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2023/20-p400e-phev-r-dynamic-se-awd-automatico/rj,"R$ 479.819,00"
5,jaguar,f-pace,2023,50-v8-supercharged-svr-awd-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2023/50-v8-supercharged-svr-awd-4p-automatico/rj,"R$ 745.954,00"
6,jaguar,f-pace,2022,30-p340-mhev-r-dynamic-se-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2022/30-p340-mhev-r-dynamic-se-awd-automatico/rj,"R$ 463.635,00"
7,jaguar,f-pace,2022,50-v8-supercharged-svr-awd-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2022/50-v8-supercharged-svr-awd-4p-automatico/rj,"R$ 598.744,00"
8,jaguar,f-pace,2021,30-p340-mhev-r-dynamic-se-awd-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2021/30-p340-mhev-r-dynamic-se-awd-automatico/rj,"R$ 352.733,00"
9,jaguar,f-pace,2020,20-16v-ingenium-r-sport-awd-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/jaguar/f-pace/2020/20-16v-ingenium-r-sport-awd-4p-automatico/rj,"R$ 275.383,00"
