,brand,model,year,car_detail,url,fipe_price
0,kia,besta,2005,30-gs-grand-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2005/30-gs-grand-8v-diesel-3p-manual/rj,"R$ 37.345,00"
1,kia,besta,2004,30-gs-grand-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2004/30-gs-grand-8v-diesel-3p-manual/rj,"R$ 34.078,00"
2,kia,besta,2002,27-gs-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2002/27-gs-8v-diesel-3p-manual/rj,"R$ 20.665,00"
3,kia,besta,2001,27-gs-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2001/27-gs-8v-diesel-3p-manual/rj,"R$ 20.037,00"
4,kia,besta,2000,30-gs-grand-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2000/30-gs-grand-8v-diesel-3p-manual/rj,"R$ 23.034,00"
5,kia,besta,2000,27-gs-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2000/27-gs-8v-diesel-3p-manual/rj,"R$ 17.951,00"
6,kia,besta,2000,27-gs-full-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/2000/27-gs-full-8v-diesel-3p-manual/rj,"R$ 18.572,00"
7,kia,besta,1999,27-gs-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1999/27-gs-8v-diesel-3p-manual/rj,"R$ 17.513,00"
8,kia,besta,1999,27-gs-full-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1999/27-gs-full-8v-diesel-3p-manual/rj,"R$ 18.119,00"
9,kia,besta,1998,27-gs-full-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1998/27-gs-full-8v-diesel-3p-manual/rj,"R$ 16.545,00"
10,kia,besta,1998,22-st-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1998/22-st-super-van-8v-diesel-3p-manual/rj,"R$ 13.448,00"
11,kia,besta,1998,27-est-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1998/27-est-super-van-8v-diesel-3p-manual/rj,"R$ 15.315,00"
12,kia,besta,1997,22-st-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1997/22-st-super-van-8v-diesel-3p-manual/rj,"R$ 12.473,00"
13,kia,besta,1997,27-est-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1997/27-est-super-van-8v-diesel-3p-manual/rj,"R$ 14.688,00"
14,kia,besta,1997,27-full-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1997/27-full-super-van-8v-diesel-3p-manual/rj,"R$ 14.909,00"
15,kia,besta,1996,27-full-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1996/27-full-super-van-8v-diesel-3p-manual/rj,"R$ 13.741,00"
16,kia,besta,1996,22-st-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1996/22-st-super-van-8v-diesel-3p-manual/rj,"R$ 11.391,00"
17,kia,besta,1995,27-est-super-van-8v-diesel-3p-manual,https://www.webmotors.com.br/tabela-fipe/carros/kia/besta/1995/27-est-super-van-8v-diesel-3p-manual/rj,"R$ 12.086,00"
