,brand,model,year,car_detail,url,fipe_price
0,lada,niva,2000,17-i-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/2000/17-i-4x4-gasolina-2p-manual/rj,"R$ 25.632,00"
1,lada,niva,1999,17-i-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1999/17-i-4x4-gasolina-2p-manual/rj,"R$ 24.895,00"
2,lada,niva,1998,17-i-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1998/17-i-4x4-gasolina-2p-manual/rj,"R$ 22.854,00"
3,lada,niva,1996,16-pantanal-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1996/16-pantanal-4x4-gasolina-2p-manual/rj,"R$ 21.504,00"
4,lada,niva,1995,16-cd-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1995/16-cd-4x4-gasolina-2p-manual/rj,"R$ 25.755,00"
5,lada,niva,1995,16-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1995/16-4x4-gasolina-2p-manual/rj,"R$ 25.755,00"
6,lada,niva,1994,16-pantanal-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1994/16-pantanal-4x4-gasolina-2p-manual/rj,"R$ 20.295,00"
7,lada,niva,1994,16-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1994/16-4x4-gasolina-2p-manual/rj,"R$ 25.126,00"
8,lada,niva,1993,16-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1993/16-4x4-gasolina-2p-manual/rj,"R$ 24.375,00"
9,lada,niva,1993,16-cd-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1993/16-cd-4x4-gasolina-2p-manual/rj,"R$ 24.375,00"
10,lada,niva,1993,16-cabriolet-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1993/16-cabriolet-4x4-gasolina-2p-manual/rj,"R$ 3.052,00"
11,lada,niva,1992,16-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1992/16-4x4-gasolina-2p-manual/rj,"R$ 21.632,00"
12,lada,niva,1992,16-cd-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1992/16-cd-4x4-gasolina-2p-manual/rj,"R$ 21.632,00"
13,lada,niva,1991,16-pantanal-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1991/16-pantanal-4x4-gasolina-2p-manual/rj,"R$ 18.514,00"
14,lada,niva,1991,16-cd-4x4-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/niva/1991/16-cd-4x4-gasolina-2p-manual/rj,"R$ 21.104,00"
15,lada,samara,1995,13-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1995/13-gasolina-2p-manual/rj,"R$ 4.244,00"
16,lada,samara,1995,15-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1995/15-gasolina-2p-manual/rj,"R$ 4.244,00"
17,lada,samara,1995,15-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1995/15-gasolina-4p-manual/rj,"R$ 4.244,00"
18,lada,samara,1994,13-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1994/13-gasolina-2p-manual/rj,"R$ 3.577,00"
19,lada,samara,1994,15-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1994/15-gasolina-2p-manual/rj,"R$ 3.577,00"
20,lada,samara,1994,15-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1994/15-gasolina-4p-manual/rj,"R$ 3.577,00"
21,lada,samara,1993,13-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1993/13-gasolina-2p-manual/rj,"R$ 3.265,00"
22,lada,samara,1993,15-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1993/15-gasolina-2p-manual/rj,"R$ 3.265,00"
23,lada,samara,1993,15-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1993/15-gasolina-4p-manual/rj,"R$ 3.265,00"
24,lada,samara,1992,13-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1992/13-gasolina-2p-manual/rj,"R$ 2.431,00"
25,lada,samara,1992,15-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1992/15-gasolina-2p-manual/rj,"R$ 2.431,00"
26,lada,samara,1992,15-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1992/15-gasolina-4p-manual/rj,"R$ 2.431,00"
27,lada,samara,1991,13-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1991/13-gasolina-2p-manual/rj,"R$ 2.096,00"
28,lada,samara,1991,15-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1991/15-gasolina-2p-manual/rj,"R$ 2.096,00"
29,lada,samara,1991,15-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lada/samara/1991/15-gasolina-4p-manual/rj,"R$ 2.096,00"
