,brand,model,year,car_detail,url,fipe_price
0,lamborghini,aventador,2022,65-v12-gasolina-lp-770-4-svj-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2022/65-v12-gasolina-lp-770-4-svj-isr/rj,"R$ 9.185.776,00"
1,lamborghini,aventador,2021,65-v12-gasolina-lp-770-4-svj-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2021/65-v12-gasolina-lp-770-4-svj-isr/rj,"R$ 8.961.732,00"
2,lamborghini,aventador,2021,65-v12-gasolina-lp-770-4-svj-roadster-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2021/65-v12-gasolina-lp-770-4-svj-roadster-isr/rj,"R$ 8.146.264,00"
3,lamborghini,aventador,2020,65-v12-gasolina-lp-770-4-svj-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2020/65-v12-gasolina-lp-770-4-svj-isr/rj,"R$ 7.536.006,00"
4,lamborghini,aventador,2019,65-v12-gasolina-lp-740-4-s-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2019/65-v12-gasolina-lp-740-4-s-isr/rj,"R$ 5.204.103,00"
5,lamborghini,aventador,2019,65-v12-gasolina-lp-770-4-svj-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2019/65-v12-gasolina-lp-770-4-svj-isr/rj,"R$ 6.066.994,00"
6,lamborghini,aventador,2018,65-v12-gasolina-lp-740-4-s-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2018/65-v12-gasolina-lp-740-4-s-isr/rj,"R$ 5.077.173,00"
7,lamborghini,aventador,2017,65-v12-gasolina-lp-700-4-roadster-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2017/65-v12-gasolina-lp-700-4-roadster-isr/rj,"R$ 3.960.448,00"
8,lamborghini,aventador,2017,65-v12-gasolina-lp-740-4-s-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2017/65-v12-gasolina-lp-740-4-s-isr/rj,"R$ 3.851.228,00"
9,lamborghini,aventador,2016,65-v12-gasolina-lp-700-4-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2016/65-v12-gasolina-lp-700-4-isr/rj,"R$ 4.427.106,00"
10,lamborghini,aventador,2016,65-v12-gasolina-lp-700-4-roadster-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2016/65-v12-gasolina-lp-700-4-roadster-isr/rj,"R$ 3.837.646,00"
11,lamborghini,aventador,2015,65-v12-gasolina-lp-700-4-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2015/65-v12-gasolina-lp-700-4-isr/rj,"R$ 4.319.127,00"
12,lamborghini,aventador,2015,65-v12-gasolina-lp-700-4-roadster-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2015/65-v12-gasolina-lp-700-4-roadster-isr/rj,"R$ 3.718.643,00"
13,lamborghini,aventador,2014,65-v12-gasolina-lp-700-4-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2014/65-v12-gasolina-lp-700-4-isr/rj,"R$ 4.213.782,00"
14,lamborghini,aventador,2014,65-v12-gasolina-lp-700-4-roadster-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2014/65-v12-gasolina-lp-700-4-roadster-isr/rj,"R$ 3.538.553,00"
15,lamborghini,aventador,2013,65-v12-gasolina-lp-700-4-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2013/65-v12-gasolina-lp-700-4-isr/rj,"R$ 4.037.298,00"
16,lamborghini,aventador,2013,65-v12-gasolina-lp-700-4-roadster-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2013/65-v12-gasolina-lp-700-4-roadster-isr/rj,"R$ 2.626.693,00"
17,lamborghini,aventador,2012,65-v12-gasolina-lp-700-4-isr,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/aventador/2012/65-v12-gasolina-lp-700-4-isr/rj,"R$ 3.938.827,00"
18,lamborghini,gallardo,2014,52-v10-gasolina-lp570-4-performante-spyder-e-gear,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2014/52-v10-gasolina-lp570-4-performante-spyder-e-gear/rj,"R$ 1.429.160,00"
19,lamborghini,gallardo,2013,52-lp560-4-coupe-v10-40v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2013/52-lp560-4-coupe-v10-40v-gasolina-2p-automatico/rj,"R$ 1.266.510,00"
20,lamborghini,gallardo,2013,52-v10-gasolina-lp560-4-e-gear,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2013/52-v10-gasolina-lp560-4-e-gear/rj,"R$ 1.266.510,00"
21,lamborghini,gallardo,2013,52-v10-gasolina-lp560-4-manual,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2013/52-v10-gasolina-lp560-4-manual/rj,"R$ 1.266.510,00"
22,lamborghini,gallardo,2012,52-lp560-4-coupe-v10-40v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2012/52-lp560-4-coupe-v10-40v-gasolina-2p-automatico/rj,"R$ 1.232.255,00"
23,lamborghini,gallardo,2012,52-v10-gasolina-lp560-4-e-gear,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2012/52-v10-gasolina-lp560-4-e-gear/rj,"R$ 1.232.255,00"
24,lamborghini,gallardo,2012,52-v10-gasolina-lp560-4-manual,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2012/52-v10-gasolina-lp560-4-manual/rj,"R$ 1.232.255,00"
25,lamborghini,gallardo,2011,52-lp570-4-superleggera-coupe-v10-40v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2011/52-lp570-4-superleggera-coupe-v10-40v-gasolina-2p-automatico/rj,"R$ 1.345.703,00"
26,lamborghini,gallardo,2011,52-v10-gasolina-lp570-4-superleggera-manual,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2011/52-v10-gasolina-lp570-4-superleggera-manual/rj,"R$ 1.345.703,00"
27,lamborghini,gallardo,2010,52-v10-gasolina-lp570-4-superleggera-manual,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2010/52-v10-gasolina-lp570-4-superleggera-manual/rj,"R$ 1.200.120,00"
28,lamborghini,gallardo,2010,52-v10-gasolina-lp550-2-valentino-balboni-manual,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2010/52-v10-gasolina-lp550-2-valentino-balboni-manual/rj,"R$ 1.186.685,00"
29,lamborghini,gallardo,2010,52-v10-gasolina-lp550-2-e-gear,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2010/52-v10-gasolina-lp550-2-e-gear/rj,"R$ 1.186.685,00"
30,lamborghini,gallardo,2009,52-lp560-4-coupe-v10-40v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/gallardo/2009/52-lp560-4-coupe-v10-40v-gasolina-2p-automatico/rj,"R$ 1.100.379,00"
31,lamborghini,huracan,2023,52-v10-gasolina-lp-640-evo-spyder-ldf,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/huracan/2023/52-v10-gasolina-lp-640-evo-spyder-ldf/rj,"R$ 4.581.118,00"
32,lamborghini,huracan,2023,52-v10-gasolina-lp-640-tecnica-ldf,https://www.webmotors.com.br/tabela-fipe/carros/lamborghini/huracan/2023/52-v10-gasolina-lp-640-tecnica-ldf/rj,"R$ 3.854.223,00"
