,brand,model,year,car_detail,url,fipe_price
0,lifan,320,2012,13-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/320/2012/13-16v-gasolina-4p-manual/rj,"R$ 18.032,00"
1,lifan,320,2011,13-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/320/2011/13-16v-gasolina-4p-manual/rj,"R$ 17.504,00"
2,lifan,320,2010,13-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/320/2010/13-16v-gasolina-4p-manual/rj,"R$ 16.652,00"
3,lifan,620,2012,16-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/620/2012/16-16v-gasolina-4p-manual/rj,"R$ 18.274,00"
4,lifan,620,2011,16-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/620/2011/16-16v-gasolina-4p-manual/rj,"R$ 17.750,00"
5,lifan,620,2010,16-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/620/2010/16-16v-gasolina-4p-manual/rj,"R$ 17.317,00"
6,lifan,620,2009,16-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/620/2009/16-16v-gasolina-4p-manual/rj,"R$ 15.290,00"
7,lifan,foison,2016,13-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/foison/2016/13-16v-gasolina-2p-manual/rj,"R$ 42.368,00"
8,lifan,foison,2015,13-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/foison/2015/13-16v-gasolina-2p-manual/rj,"R$ 41.334,00"
9,lifan,foison,2014,13-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/foison/2014/13-16v-gasolina-2p-manual/rj,"R$ 37.891,00"
10,lifan,x60,2019,18-talent-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2019/18-talent-16v-gasolina-4p-manual/rj,"R$ 55.304,00"
11,lifan,x60,2019,18-vip-16v-gasolina-4p-cvt,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2019/18-vip-16v-gasolina-4p-cvt/rj,"R$ 58.599,00"
12,lifan,x60,2018,18-talent-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2018/18-talent-16v-gasolina-4p-manual/rj,"R$ 53.573,00"
13,lifan,x60,2018,18-vip-16v-gasolina-4p-cvt,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2018/18-vip-16v-gasolina-4p-cvt/rj,"R$ 55.669,00"
14,lifan,x60,2016,18-talent-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2016/18-talent-16v-gasolina-4p-manual/rj,"R$ 41.866,00"
15,lifan,x60,2016,18-vip-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2016/18-vip-16v-gasolina-4p-manual/rj,"R$ 41.866,00"
16,lifan,x60,2015,18-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2015/18-16v-gasolina-4p-manual/rj,"R$ 36.979,00"
17,lifan,x60,2015,18-vip-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2015/18-vip-16v-gasolina-4p-manual/rj,"R$ 36.979,00"
18,lifan,x60,2014,18-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2014/18-16v-gasolina-4p-manual/rj,"R$ 32.543,00"
19,lifan,x60,2014,18-vip-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2014/18-vip-16v-gasolina-4p-manual/rj,"R$ 32.543,00"
20,lifan,x60,2013,18-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2013/18-16v-gasolina-4p-manual/rj,"R$ 27.805,00"
21,lifan,x60,2013,18-vip-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x60/2013/18-vip-16v-gasolina-4p-manual/rj,"R$ 27.805,00"
22,lifan,x80,2019,20-16v-turbo-gasolina-vip-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/lifan/x80/2019/20-16v-turbo-gasolina-vip-4p-automatico/rj,"R$ 84.057,00"
