,brand,model,year,car_detail,url,fipe_price
0,mazda,626,2000,20-glx-high-sw-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/2000/20-glx-high-sw-16v-gasolina-4p-automatico/rj,"R$ 12.810,00"
1,mazda,626,2000,20-glx-high-sw-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/2000/20-glx-high-sw-16v-gasolina-4p-manual/rj,"R$ 12.810,00"
2,mazda,626,1999,20-glx-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1999/20-glx-sedan-16v-gasolina-4p-manual/rj,"R$ 16.866,00"
3,mazda,626,1999,20-glx-high-sw-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1999/20-glx-high-sw-16v-gasolina-4p-manual/rj,"R$ 12.082,00"
4,mazda,626,1998,20-glx-sw-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1998/20-glx-sw-16v-gasolina-4p-manual/rj,"R$ 11.213,00"
5,mazda,626,1997,20-glx-high-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1997/20-glx-high-sedan-16v-gasolina-4p-manual/rj,"R$ 12.430,00"
6,mazda,626,1997,20-glx-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1997/20-glx-sedan-16v-gasolina-4p-automatico/rj,"R$ 12.430,00"
7,mazda,626,1997,20-glx-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1997/20-glx-sedan-16v-gasolina-4p-manual/rj,"R$ 12.430,00"
8,mazda,626,1996,20-glx-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1996/20-glx-sedan-16v-gasolina-4p-automatico/rj,"R$ 11.443,00"
9,mazda,626,1996,20-glx-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1996/20-glx-sedan-16v-gasolina-4p-manual/rj,"R$ 11.443,00"
10,mazda,626,1995,20-glx-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1995/20-glx-sedan-16v-gasolina-4p-automatico/rj,"R$ 8.552,00"
11,mazda,626,1995,20-glx-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1995/20-glx-sedan-16v-gasolina-4p-manual/rj,"R$ 8.552,00"
12,mazda,626,1995,25-gt-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1995/25-gt-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 11.669,00"
13,mazda,626,1994,20-glx-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1994/20-glx-sedan-16v-gasolina-4p-automatico/rj,"R$ 7.800,00"
14,mazda,626,1994,20-glx-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1994/20-glx-sedan-16v-gasolina-4p-manual/rj,"R$ 7.800,00"
15,mazda,626,1994,25-gt-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1994/25-gt-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 8.793,00"
16,mazda,626,1993,20-glx-sedan-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1993/20-glx-sedan-16v-gasolina-4p-automatico/rj,"R$ 5.599,00"
17,mazda,626,1993,20-glx-sedan-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1993/20-glx-sedan-16v-gasolina-4p-manual/rj,"R$ 5.599,00"
18,mazda,626,1993,25-gt-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/626/1993/25-gt-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 6.438,00"
19,mazda,929,1995,30-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/929/1995/30-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 15.758,00"
20,mazda,929,1994,30-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/929/1994/30-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 13.115,00"
21,mazda,929,1993,30-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/929/1993/30-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 12.753,00"
22,mazda,929,1992,30-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/929/1992/30-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 10.134,00"
23,mazda,millenia,1997,30-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/millenia/1997/30-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 14.073,00"
24,mazda,millenia,1996,30-sedan-v6-24v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/millenia/1996/30-sedan-v6-24v-gasolina-4p-automatico/rj,"R$ 13.150,00"
25,mazda,mpv,2000,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/2000/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 22.331,00"
26,mazda,mpv,1999,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1999/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 21.786,00"
27,mazda,mpv,1998,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1998/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 21.254,00"
28,mazda,mpv,1997,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1997/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 14.398,00"
29,mazda,mpv,1996,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1996/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 12.909,00"
30,mazda,mpv,1995,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1995/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 12.111,00"
31,mazda,mpv,1994,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1994/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 11.078,00"
32,mazda,mpv,1993,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1993/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 10.374,00"
33,mazda,mpv,1992,30-minivan-v6-18v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mpv/1992/30-minivan-v6-18v-gasolina-4p-automatico/rj,"R$ 8.428,00"
34,mazda,mx-3,1998,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1998/16-gs-16v-gasolina-2p-manual/rj,"R$ 31.421,00"
35,mazda,mx-3,1997,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1997/16-gs-16v-gasolina-2p-manual/rj,"R$ 30.654,00"
36,mazda,mx-3,1996,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1996/16-gs-16v-gasolina-2p-manual/rj,"R$ 29.906,00"
37,mazda,mx-3,1995,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1995/16-gs-16v-gasolina-2p-manual/rj,"R$ 26.666,00"
38,mazda,mx-3,1995,18-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1995/18-gs-16v-gasolina-2p-manual/rj,"R$ 19.338,00"
39,mazda,mx-3,1995,18-gs-v6-24v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1995/18-gs-v6-24v-gasolina-2p-manual/rj,"R$ 19.338,00"
40,mazda,mx-3,1994,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1994/16-gs-16v-gasolina-2p-manual/rj,"R$ 19.573,00"
41,mazda,mx-3,1994,18-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1994/18-gs-16v-gasolina-2p-manual/rj,"R$ 13.768,00"
42,mazda,mx-3,1994,18-gs-v6-24v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1994/18-gs-v6-24v-gasolina-2p-manual/rj,"R$ 13.768,00"
43,mazda,mx-3,1993,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1993/16-gs-16v-gasolina-2p-manual/rj,"R$ 15.750,00"
44,mazda,mx-3,1992,16-gs-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-3/1992/16-gs-16v-gasolina-2p-manual/rj,"R$ 10.631,00"
45,mazda,mx-5,1995,18-miata-conversivel-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-5/1995/18-miata-conversivel-16v-gasolina-2p-manual/rj,"R$ 71.249,00"
46,mazda,mx-5,1994,18-miata-conversivel-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-5/1994/18-miata-conversivel-16v-gasolina-2p-manual/rj,"R$ 56.420,00"
47,mazda,mx-5,1993,16-miata-conversivel-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mazda/mx-5/1993/16-miata-conversivel-16v-gasolina-2p-manual/rj,"R$ 46.737,00"
