,brand,model,year,car_detail,url,fipe_price
0,mercedes-benz,classe-a,2015,20-250-turbo-sport-gasolina-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2015/20-250-turbo-sport-gasolina-4p-automatizado/rj,"R$ 121.981,00"
1,mercedes-benz,classe-a,2014,16-200-turbo-style-gasolina-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2014/16-200-turbo-style-gasolina-4p-automatizado/rj,"R$ 78.598,00"
2,mercedes-benz,classe-a,2014,16-200-turbo-urban-gasolina-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2014/16-200-turbo-urban-gasolina-4p-automatizado/rj,"R$ 79.815,00"
3,mercedes-benz,classe-a,2014,20-250-turbo-sport-gasolina-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2014/20-250-turbo-sport-gasolina-4p-automatizado/rj,"R$ 117.622,00"
4,mercedes-benz,classe-a,2009,20-elegance-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2009/20-elegance-gasolina-4p-automatico/rj,"R$ 34.712,00"
5,mercedes-benz,classe-a,2008,20-elegance-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2008/20-elegance-gasolina-4p-automatico/rj,"R$ 33.496,00"
6,mercedes-benz,classe-a,2007,20-elegance-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2007/20-elegance-gasolina-4p-automatico/rj,"R$ 31.042,00"
7,mercedes-benz,classe-a,2006,20-elegance-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2006/20-elegance-gasolina-4p-automatico/rj,"R$ 28.796,00"
8,mercedes-benz,classe-a,2005,16-160-classic-gasolina-4p-semi-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2005/16-160-classic-gasolina-4p-semi-automatico/rj,"R$ 18.712,00"
9,mercedes-benz,classe-a,2004,19-190-classic-gasolina-4p-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/mercedes-benz/classe-a/2004/19-190-classic-gasolina-4p-automatizado/rj,"R$ 14.662,00"
