,brand,model,year,car_detail,url,fipe_price
0,mitsubishi,airtrek,2008,24-4x4-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2008/24-4x4-16v-gasolina-4p-automatico/rj,"R$ 33.639,00"
1,mitsubishi,airtrek,2007,24-4x4-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2007/24-4x4-16v-gasolina-4p-automatico/rj,"R$ 29.564,00"
2,mitsubishi,airtrek,2006,20-4x4-16v-turbo-intercooler-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2006/20-4x4-16v-turbo-intercooler-gasolina-4p-manual/rj,"R$ 27.965,00"
3,mitsubishi,airtrek,2006,24-4x4-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2006/24-4x4-16v-gasolina-4p-automatico/rj,"R$ 27.459,00"
4,mitsubishi,airtrek,2005,24-4x4-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2005/24-4x4-16v-gasolina-4p-automatico/rj,"R$ 26.789,00"
5,mitsubishi,airtrek,2004,24-4x4-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2004/24-4x4-16v-gasolina-4p-automatico/rj,"R$ 25.318,00"
6,mitsubishi,airtrek,2003,24-4x4-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/airtrek/2003/24-4x4-16v-gasolina-4p-automatico/rj,"R$ 22.977,00"
7,mitsubishi,asx,2022,20-mivec-flex-gls-cvt,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2022/20-mivec-flex-gls-cvt/rj,"R$ 105.355,00"
8,mitsubishi,asx,2021,20-mivec-flex-gls-cvt,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2021/20-mivec-flex-gls-cvt/rj,"R$ 101.020,00"
9,mitsubishi,asx,2020,20-mivec-flex-hpe-awd-cvt,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2020/20-mivec-flex-hpe-awd-cvt/rj,"R$ 97.021,00"
10,mitsubishi,asx,2020,20-mivec-flex-hpe-cvt,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2020/20-mivec-flex-hpe-cvt/rj,"R$ 98.541,00"
11,mitsubishi,asx,2020,20-mivec-flex-hpe-s-awd-cvt,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2020/20-mivec-flex-hpe-s-awd-cvt/rj,"R$ 111.342,00"
12,mitsubishi,asx,2019,20-4x2-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2019/20-4x2-16v-flex-4p-automatico/rj,"R$ 93.099,00"
13,mitsubishi,asx,2019,20-awd-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2019/20-awd-16v-flex-4p-automatico/rj,"R$ 100.618,00"
14,mitsubishi,asx,2018,20-4x2-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2018/20-4x2-16v-flex-4p-automatico/rj,"R$ 86.483,00"
15,mitsubishi,asx,2018,20-awd-16v-flex-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2018/20-awd-16v-flex-4p-automatico/rj,"R$ 89.874,00"
16,mitsubishi,asx,2018,20-4x2-16v-flex-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2018/20-4x2-16v-flex-4p-manual/rj,"R$ 85.757,00"
17,mitsubishi,asx,2017,20-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2017/20-4x2-16v-gasolina-4p-automatico/rj,"R$ 81.358,00"
18,mitsubishi,asx,2017,20-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2017/20-4x2-16v-gasolina-4p-manual/rj,"R$ 80.959,00"
19,mitsubishi,asx,2017,20-4x4-awd-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2017/20-4x4-awd-16v-gasolina-4p-automatico/rj,"R$ 83.155,00"
20,mitsubishi,asx,2016,20-oneill-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2016/20-oneill-4x2-16v-gasolina-4p-automatico/rj,"R$ 69.744,00"
21,mitsubishi,asx,2015,20-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2015/20-4x2-16v-gasolina-4p-automatico/rj,"R$ 69.735,00"
22,mitsubishi,asx,2015,20-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2015/20-4x2-16v-gasolina-4p-manual/rj,"R$ 69.662,00"
23,mitsubishi,asx,2015,20-4x4-awd-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2015/20-4x4-awd-16v-gasolina-4p-automatico/rj,"R$ 73.297,00"
24,mitsubishi,asx,2014,20-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2014/20-4x2-16v-gasolina-4p-automatico/rj,"R$ 65.000,00"
25,mitsubishi,asx,2014,20-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2014/20-4x2-16v-gasolina-4p-manual/rj,"R$ 64.637,00"
26,mitsubishi,asx,2014,20-4x4-awd-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2014/20-4x4-awd-16v-gasolina-4p-automatico/rj,"R$ 70.744,00"
27,mitsubishi,asx,2013,20-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2013/20-4x2-16v-gasolina-4p-automatico/rj,"R$ 61.237,00"
28,mitsubishi,asx,2013,20-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2013/20-4x2-16v-gasolina-4p-manual/rj,"R$ 57.941,00"
29,mitsubishi,asx,2013,20-4x4-awd-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2013/20-4x4-awd-16v-gasolina-4p-automatico/rj,"R$ 64.971,00"
30,mitsubishi,asx,2012,20-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2012/20-4x2-16v-gasolina-4p-manual/rj,"R$ 53.610,00"
31,mitsubishi,asx,2012,20-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2012/20-4x2-16v-gasolina-4p-automatico/rj,"R$ 55.986,00"
32,mitsubishi,asx,2012,20-4wd-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2012/20-4wd-16v-gasolina-4p-automatico/rj,"R$ 60.023,00"
33,mitsubishi,asx,2011,20-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2011/20-4x2-16v-gasolina-4p-manual/rj,"R$ 50.884,00"
34,mitsubishi,asx,2011,20-4x4-fwd-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2011/20-4x4-fwd-16v-gasolina-4p-manual/rj,"R$ 50.884,00"
35,mitsubishi,asx,2011,20-4wd-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/asx/2011/20-4wd-16v-gasolina-4p-automatico/rj,"R$ 55.859,00"
36,mitsubishi,colt,1997,18-glxi-16v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/colt/1997/18-glxi-16v-gasolina-2p-automatico/rj,"R$ 11.883,00"
37,mitsubishi,colt,1997,18-glxi-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/colt/1997/18-glxi-16v-gasolina-2p-manual/rj,"R$ 12.021,00"
38,mitsubishi,colt,1997,16-glxi-16v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/mitsubishi/colt/1997/16-glxi-16v-gasolina-2p-automatico/rj,"R$ 11.883,00"
