,brand,model,year,car_detail,url,fipe_price
0,nissan,350z,2009,35-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2009/35-v6-gasolina-automatico/rj,"R$ 259.700,00"
1,nissan,350z,2009,35-v6-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2009/35-v6-gasolina-manual/rj,"R$ 259.700,00"
2,nissan,350z,2008,35-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2008/35-v6-gasolina-automatico/rj,"R$ 253.365,00"
3,nissan,350z,2008,35-v6-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2008/35-v6-gasolina-manual/rj,"R$ 253.365,00"
4,nissan,350z,2007,35-v6-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2007/35-v6-gasolina-manual/rj,"R$ 243.069,00"
5,nissan,350z,2006,35-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2006/35-v6-gasolina-automatico/rj,"R$ 199.839,00"
6,nissan,350z,2006,35-v6-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2006/35-v6-gasolina-manual/rj,"R$ 199.839,00"
7,nissan,350z,2005,35-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2005/35-v6-gasolina-automatico/rj,"R$ 187.256,00"
8,nissan,350z,2005,35-v6-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2005/35-v6-gasolina-manual/rj,"R$ 187.256,00"
9,nissan,350z,2004,35-v6-gasolina-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2004/35-v6-gasolina-automatico/rj,"R$ 179.334,00"
10,nissan,350z,2004,35-v6-gasolina-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/350z/2004/35-v6-gasolina-manual/rj,"R$ 179.334,00"
11,nissan,altima,2014,25-sl-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/2014/25-sl-16v-gasolina-4p-automatico/rj,"R$ 64.743,00"
12,nissan,altima,1995,24-se-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1995/24-se-16v-gasolina-4p-automatico/rj,"R$ 8.745,00"
13,nissan,altima,1994,24-gxe-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1994/24-gxe-16v-gasolina-4p-automatico/rj,"R$ 6.344,00"
14,nissan,altima,1994,24-gxe-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1994/24-gxe-16v-gasolina-4p-manual/rj,"R$ 6.344,00"
15,nissan,altima,1994,24-se-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1994/24-se-16v-gasolina-4p-automatico/rj,"R$ 6.942,00"
16,nissan,altima,1993,24-gxe-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1993/24-gxe-16v-gasolina-4p-automatico/rj,"R$ 5.699,00"
17,nissan,altima,1993,24-gxe-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1993/24-gxe-16v-gasolina-4p-manual/rj,"R$ 5.699,00"
18,nissan,altima,1993,24-se-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/altima/1993/24-se-16v-gasolina-4p-automatico/rj,"R$ 6.190,00"
19,nissan,frontier,2025,23-16v-turbo-diesel-pro4x-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2025/23-16v-turbo-diesel-pro4x-cd-4x4-automatico/rj,"R$ 250.985,00"
20,nissan,frontier,2025,23-16v-turbo-diesel-xe-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2025/23-16v-turbo-diesel-xe-cd-4x4-automatico/rj,"R$ 228.237,00"
21,nissan,frontier,2025,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2025/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 223.723,00"
22,nissan,frontier,2024,23-16v-turbo-diesel-se-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2024/23-16v-turbo-diesel-se-cd-4x4-automatico/rj,"R$ 203.181,00"
23,nissan,frontier,2024,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2024/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 207.083,00"
24,nissan,frontier,2024,23-16v-turbo-diesel-xe-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2024/23-16v-turbo-diesel-xe-cd-4x4-automatico/rj,"R$ 213.254,00"
25,nissan,frontier,2023,23-16v-turbo-diesel-s-cd-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2023/23-16v-turbo-diesel-s-cd-4x4-manual/rj,"R$ 154.779,00"
26,nissan,frontier,2023,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2023/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 181.081,00"
27,nissan,frontier,2023,23-16v-turbo-diesel-xe-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2023/23-16v-turbo-diesel-xe-cd-4x4-automatico/rj,"R$ 197.922,00"
28,nissan,frontier,2022,23-16v-turbo-diesel-le-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2022/23-16v-turbo-diesel-le-cd-4x4-automatico/rj,"R$ 178.122,00"
29,nissan,frontier,2022,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2022/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 157.914,00"
30,nissan,frontier,2022,23-16v-turbo-diesel-s-cd-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2022/23-16v-turbo-diesel-s-cd-4x4-manual/rj,"R$ 129.728,00"
31,nissan,frontier,2021,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2021/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 150.721,00"
32,nissan,frontier,2021,23-16v-turbo-diesel-le-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2021/23-16v-turbo-diesel-le-cd-4x4-automatico/rj,"R$ 167.001,00"
33,nissan,frontier,2021,23-16v-turbo-diesel-s-cd-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2021/23-16v-turbo-diesel-s-cd-4x4-manual/rj,"R$ 124.093,00"
34,nissan,frontier,2020,23-16v-turbo-diesel-le-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2020/23-16v-turbo-diesel-le-cd-4x4-automatico/rj,"R$ 161.476,00"
35,nissan,frontier,2020,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2020/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 144.857,00"
36,nissan,frontier,2020,23-16v-turbo-diesel-s-cd-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2020/23-16v-turbo-diesel-s-cd-4x4-manual/rj,"R$ 121.066,00"
37,nissan,frontier,2019,23-16v-turbo-diesel-attack-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2019/23-16v-turbo-diesel-attack-cd-4x4-automatico/rj,"R$ 141.323,00"
38,nissan,frontier,2019,23-16v-turbo-diesel-le-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2019/23-16v-turbo-diesel-le-cd-4x4-automatico/rj,"R$ 149.517,00"
39,nissan,frontier,2019,23-16v-turbo-diesel-se-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2019/23-16v-turbo-diesel-se-cd-4x4-automatico/rj,"R$ 135.290,00"
40,nissan,frontier,2018,23-16v-turbo-diesel-le-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2018/23-16v-turbo-diesel-le-cd-4x4-automatico/rj,"R$ 134.606,00"
41,nissan,frontier,2018,23-16v-turbo-diesel-se-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2018/23-16v-turbo-diesel-se-cd-4x4-automatico/rj,"R$ 130.881,00"
42,nissan,frontier,2017,23-16v-turbo-diesel-le-cd-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2017/23-16v-turbo-diesel-le-cd-4x4-automatico/rj,"R$ 127.404,00"
43,nissan,frontier,2016,25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2016/25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-manual/rj,"R$ 108.189,00"
44,nissan,frontier,2016,25-sl-4x4-cd-turbo-eletronic-diesel-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2016/25-sl-4x4-cd-turbo-eletronic-diesel-4p-automatico/rj,"R$ 112.484,00"
45,nissan,frontier,2016,25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2016/25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-automatico/rj,"R$ 108.189,00"
46,nissan,frontier,2015,25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2015/25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-automatico/rj,"R$ 98.263,00"
47,nissan,frontier,2015,25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2015/25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-manual/rj,"R$ 98.263,00"
48,nissan,frontier,2014,25-platinum-4x4-cd-turbo-eletronic-diesel-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2014/25-platinum-4x4-cd-turbo-eletronic-diesel-4p-automatico/rj,"R$ 92.493,00"
49,nissan,frontier,2014,25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/nissan/frontier/2014/25-sv-attack-4x4-cd-turbo-eletronic-diesel-4p-manual/rj,"R$ 89.967,00"
