,brand,model,year,car_detail,url,fipe_price
0,porsche,911,2025,30-24v-h6-gasolina-carrera-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2025/30-24v-h6-gasolina-carrera-cabriolet-pdk/rj,"R$ 1.091.572,00"
1,porsche,911,2024,30-24v-h6-gasolina-carrera-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2024/30-24v-h6-gasolina-carrera-cabriolet-pdk/rj,"R$ 1.062.553,00"
2,porsche,911,2024,30-24v-h6-gasolina-carrera-4-gts-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2024/30-24v-h6-gasolina-carrera-4-gts-cabriolet-pdk/rj,"R$ 1.306.402,00"
3,porsche,911,2024,40-24v-h6-gasolina-gt3-rs-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2024/40-24v-h6-gasolina-gt3-rs-pdk/rj,"R$ 2.260.300,00"
4,porsche,911,2023,30-24v-h6-gasolina-carrera-s-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2023/30-24v-h6-gasolina-carrera-s-cabriolet-pdk/rj,"R$ 1.133.265,00"
5,porsche,911,2023,38-24v-h6-gasolina-turbo-s-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2023/38-24v-h6-gasolina-turbo-s-pdk/rj,"R$ 1.701.174,00"
6,porsche,911,2023,38-24v-h6-gasolina-turbo-s-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2023/38-24v-h6-gasolina-turbo-s-cabriolet-pdk/rj,"R$ 1.824.615,00"
7,porsche,911,2022,40-24v-h6-gasolina-gt3-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2022/40-24v-h6-gasolina-gt3-pdk/rj,"R$ 2.178.946,00"
8,porsche,911,2022,38-24v-h6-gasolina-turbo-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2022/38-24v-h6-gasolina-turbo-cabriolet-pdk/rj,"R$ 1.474.602,00"
9,porsche,911,2022,30-24v-h6-gasolina-carrera-4-gts-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2022/30-24v-h6-gasolina-carrera-4-gts-cabriolet-pdk/rj,"R$ 1.110.525,00"
10,porsche,911,2021,30-24v-h6-gasolina-carrera-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2021/30-24v-h6-gasolina-carrera-pdk/rj,"R$ 766.533,00"
11,porsche,911,2020,30-24v-h6-gasolina-carrera-s-cabriolet-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2020/30-24v-h6-gasolina-carrera-s-cabriolet-pdk/rj,"R$ 939.265,00"
12,porsche,911,2020,30-24v-h6-gasolina-carrera-4s-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2020/30-24v-h6-gasolina-carrera-4s-pdk/rj,"R$ 827.458,00"
13,porsche,911,2020,30-24v-h6-gasolina-carrera-pdk,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2020/30-24v-h6-gasolina-carrera-pdk/rj,"R$ 731.929,00"
14,porsche,911,2019,30-24v-h6-gasolina-carrera-t-manual,https://www.webmotors.com.br/tabela-fipe/carros/porsche/911/2019/30-24v-h6-gasolina-carrera-t-manual/rj,"R$ 666.858,00"
