,brand,model,year,car_detail,url,fipe_price
0,renault,19,1998,16-rn-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1998/16-rn-8v-gasolina-4p-manual/rj,"R$ 6.209,00"
1,renault,19,1997,16-rn-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1997/16-rn-8v-gasolina-2p-manual/rj,"R$ 5.429,00"
2,renault,19,1997,16-rn-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1997/16-rn-8v-gasolina-4p-manual/rj,"R$ 5.429,00"
3,renault,19,1996,18-rt-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1996/18-rt-16v-gasolina-4p-manual/rj,"R$ 6.731,00"
4,renault,19,1996,18-16s-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1996/18-16s-16v-gasolina-2p-manual/rj,"R$ 6.731,00"
5,renault,19,1995,18-rt-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1995/18-rt-16v-gasolina-4p-manual/rj,"R$ 6.566,00"
6,renault,19,1995,18-i-rt-sedan-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1995/18-i-rt-sedan-gasolina-4p-manual/rj,"R$ 6.848,00"
7,renault,19,1995,18-16s-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1995/18-16s-16v-gasolina-2p-manual/rj,"R$ 6.566,00"
8,renault,19,1994,18-16s-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1994/18-16s-16v-gasolina-2p-manual/rj,"R$ 5.897,00"
9,renault,19,1994,16-rn-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1994/16-rn-8v-gasolina-4p-manual/rj,"R$ 4.176,00"
10,renault,19,1994,16-rn-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/19/1994/16-rn-8v-gasolina-2p-manual/rj,"R$ 4.176,00"
11,renault,21,1994,22-txe-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/21/1994/22-txe-8v-gasolina-4p-manual/rj,"R$ 5.015,00"
12,renault,21,1994,22-gtx-nevada-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/21/1994/22-gtx-nevada-8v-gasolina-4p-manual/rj,"R$ 4.335,00"
13,renault,21,1994,22-txe-nevada-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/21/1994/22-txe-nevada-8v-gasolina-4p-manual/rj,"R$ 4.737,00"
14,renault,21,1993,22-gtx-nevada-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/21/1993/22-gtx-nevada-8v-gasolina-4p-manual/rj,"R$ 3.725,00"
15,renault,21,1993,20-gtx-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/renault/21/1993/20-gtx-8v-gasolina-4p-manual/rj,"R$ 3.721,00"
