,brand,model,year,car_detail,url,fipe_price
0,seat,cordoba,2002,16-vario-8v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2002/16-vario-8v-gasolina-4p-automatico/rj,"R$ 11.260,00"
1,seat,cordoba,2002,16-vario-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2002/16-vario-8v-gasolina-4p-manual/rj,"R$ 11.260,00"
2,seat,cordoba,2001,16-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2001/16-8v-gasolina-4p-manual/rj,"R$ 10.909,00"
3,seat,cordoba,2001,18-sxe-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2001/18-sxe-8v-gasolina-4p-manual/rj,"R$ 10.909,00"
4,seat,cordoba,2000,18-sxe-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2000/18-sxe-8v-gasolina-4p-manual/rj,"R$ 8.775,00"
5,seat,cordoba,2000,16-8v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2000/16-8v-gasolina-4p-automatico/rj,"R$ 8.775,00"
6,seat,cordoba,2000,16-vario-8v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/2000/16-vario-8v-gasolina-4p-automatico/rj,"R$ 10.717,00"
7,seat,cordoba,1999,16-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/1999/16-8v-gasolina-4p-manual/rj,"R$ 8.016,00"
8,seat,cordoba,1997,18-glx-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/1997/18-glx-8v-gasolina-4p-manual/rj,"R$ 7.443,00"
9,seat,cordoba,1996,18-glx-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/1996/18-glx-8v-gasolina-4p-manual/rj,"R$ 6.410,00"
10,seat,cordoba,1995,18-glx-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/cordoba/1995/18-glx-8v-gasolina-4p-manual/rj,"R$ 5.613,00"
11,seat,ibiza,2003,10-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/2003/10-16v-gasolina-4p-manual/rj,"R$ 9.227,00"
12,seat,ibiza,2002,10-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/2002/10-16v-gasolina-4p-manual/rj,"R$ 9.001,00"
13,seat,ibiza,2002,16-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/2002/16-8v-gasolina-4p-manual/rj,"R$ 9.952,00"
14,seat,ibiza,2001,10-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/2001/10-16v-gasolina-4p-manual/rj,"R$ 7.877,00"
15,seat,ibiza,2000,16-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/2000/16-8v-gasolina-4p-manual/rj,"R$ 8.778,00"
16,seat,ibiza,1999,18-sxe-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1999/18-sxe-8v-gasolina-4p-manual/rj,"R$ 7.783,00"
17,seat,ibiza,1999,16-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1999/16-8v-gasolina-4p-manual/rj,"R$ 7.853,00"
18,seat,ibiza,1998,18-sxe-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1998/18-sxe-8v-gasolina-2p-manual/rj,"R$ 7.490,00"
19,seat,ibiza,1998,18-sxe-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1998/18-sxe-8v-gasolina-4p-manual/rj,"R$ 7.490,00"
20,seat,ibiza,1997,18-sxe-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1997/18-sxe-8v-gasolina-2p-manual/rj,"R$ 7.120,00"
21,seat,ibiza,1997,18-sxe-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1997/18-sxe-8v-gasolina-4p-manual/rj,"R$ 7.120,00"
22,seat,ibiza,1996,18-glx-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1996/18-glx-8v-gasolina-2p-manual/rj,"R$ 6.227,00"
23,seat,ibiza,1996,18-glx-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1996/18-glx-8v-gasolina-4p-manual/rj,"R$ 6.227,00"
24,seat,ibiza,1995,10-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1995/10-8v-gasolina-4p-manual/rj,"R$ 4.382,00"
25,seat,ibiza,1995,18-glx-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1995/18-glx-8v-gasolina-2p-manual/rj,"R$ 5.804,00"
26,seat,ibiza,1995,18-glx-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1995/18-glx-8v-gasolina-4p-manual/rj,"R$ 5.804,00"
27,seat,ibiza,1994,10-8v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/ibiza/1994/10-8v-gasolina-4p-manual/rj,"R$ 4.044,00"
28,seat,inca,2001,16-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/inca/2001/16-8v-gasolina-2p-manual/rj,"R$ 11.922,00"
29,seat,inca,2000,16-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/inca/2000/16-8v-gasolina-2p-manual/rj,"R$ 11.409,00"
30,seat,inca,1999,16-8v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/seat/inca/1999/16-8v-gasolina-2p-manual/rj,"R$ 11.130,00"
