,brand,model,year,car_detail,url,fipe_price
0,smart,fortwo,2015,10-cabrio-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2015/10-cabrio-turbo-12v-gasolina-2p-automatico/rj,"R$ 93.881,00"
1,smart,fortwo,2014,10-passion-cabrio-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2014/10-passion-cabrio-turbo-12v-gasolina-2p-automatico/rj,"R$ 91.591,00"
2,smart,fortwo,2014,10-coupe-3-cilindros-turbo-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2014/10-coupe-3-cilindros-turbo-gasolina-2p-automatico/rj,"R$ 68.007,00"
3,smart,fortwo,2014,10-passion-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2014/10-passion-turbo-12v-gasolina-2p-automatico/rj,"R$ 68.007,00"
4,smart,fortwo,2013,10-passion-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2013/10-passion-turbo-12v-gasolina-2p-automatico/rj,"R$ 62.033,00"
5,smart,fortwo,2013,10-cabrio-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2013/10-cabrio-turbo-12v-gasolina-2p-automatico/rj,"R$ 85.482,00"
6,smart,fortwo,2012,10-mhd-coupe-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2012/10-mhd-coupe-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 58.249,00"
7,smart,fortwo,2012,10-coupe-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2012/10-coupe-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 60.165,00"
8,smart,fortwo,2012,10-cabrio-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2012/10-cabrio-turbo-12v-gasolina-2p-automatico/rj,"R$ 62.265,00"
9,smart,fortwo,2011,10-cabrio-turbo-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2011/10-cabrio-turbo-12v-gasolina-2p-automatico/rj,"R$ 60.746,00"
10,smart,fortwo,2011,10-mhd-coupe-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2011/10-mhd-coupe-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 52.876,00"
11,smart,fortwo,2011,10-coupe-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2011/10-coupe-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 55.997,00"
12,smart,fortwo,2010,10-mhd-coupe-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2010/10-mhd-coupe-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 51.554,00"
13,smart,fortwo,2010,10-12v-mhd-brazilian-edition-automatizado,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2010/10-12v-mhd-brazilian-edition-automatizado/rj,"R$ 51.554,00"
14,smart,fortwo,2009,10-cabrio-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2009/10-cabrio-12v-gasolina-2p-automatico/rj,"R$ 54.508,00"
15,smart,fortwo,2009,10-coupe-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2009/10-coupe-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 51.970,00"
16,smart,fortwo,2008,10-cabrio-3-cilindros-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2008/10-cabrio-3-cilindros-12v-gasolina-2p-automatico/rj,"R$ 47.710,00"
17,smart,fortwo,2008,10-cabrio-12v-gasolina-2p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/smart/fortwo/2008/10-cabrio-12v-gasolina-2p-automatico/rj,"R$ 47.710,00"
