,brand,model,year,car_detail,url,fipe_price
0,suzuki,ignis,2003,13-gl-4x2-16v-gasolina-4p-automatico,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/ignis/2003/13-gl-4x2-16v-gasolina-4p-automatico/rj,"R$ 18.383,00"
1,suzuki,ignis,2003,13-gl-4x2-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/ignis/2003/13-gl-4x2-16v-gasolina-4p-manual/rj,"R$ 16.883,00"
2,suzuki,ignis,2003,13-wrs-4x4-16v-gasolina-4p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/ignis/2003/13-wrs-4x4-16v-gasolina-4p-manual/rj,"R$ 18.549,00"
3,suzuki,jimny,2025,15-gasolina-sierra-4you-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2025/15-gasolina-sierra-4you-4x4-manual/rj,"R$ 141.539,00"
4,suzuki,jimny,2025,15-gasolina-sierra-4you-plus-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2025/15-gasolina-sierra-4you-plus-4x4-automatico/rj,"R$ 183.990,00"
5,suzuki,jimny,2025,15-gasolina-sierra-4sport-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2025/15-gasolina-sierra-4sport-4x4-automatico/rj,"R$ 167.179,00"
6,suzuki,jimny,2024,15-gasolina-sierra-4you-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2024/15-gasolina-sierra-4you-4x4-manual/rj,"R$ 137.858,00"
7,suzuki,jimny,2024,15-gasolina-sierra-4you-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2024/15-gasolina-sierra-4you-4x4-automatico/rj,"R$ 151.125,00"
8,suzuki,jimny,2023,15-gasolina-sierra-4sport-4x4-automatico,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2023/15-gasolina-sierra-4sport-4x4-automatico/rj,"R$ 153.112,00"
9,suzuki,jimny,2023,15-gasolina-sierra-4you-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2023/15-gasolina-sierra-4you-4x4-manual/rj,"R$ 132.106,00"
10,suzuki,jimny,2022,13-4sport-forest-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2022/13-4sport-forest-4x4-16v-gasolina-2p-manual/rj,"R$ 115.709,00"
11,suzuki,jimny,2022,15-gasolina-sierra-4you-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2022/15-gasolina-sierra-4you-4x4-manual/rj,"R$ 128.670,00"
12,suzuki,jimny,2022,13-4work-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2022/13-4work-4x4-16v-gasolina-2p-manual/rj,"R$ 105.801,00"
13,suzuki,jimny,2021,13-4all-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2021/13-4all-4x4-16v-gasolina-2p-manual/rj,"R$ 92.626,00"
14,suzuki,jimny,2021,15-gasolina-sierra-4you-4x4-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2021/15-gasolina-sierra-4you-4x4-manual/rj,"R$ 124.129,00"
15,suzuki,jimny,2021,13-4work-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2021/13-4work-4x4-16v-gasolina-2p-manual/rj,"R$ 97.994,00"
16,suzuki,jimny,2020,13-4work-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2020/13-4work-4x4-16v-gasolina-2p-manual/rj,"R$ 86.698,00"
17,suzuki,jimny,2019,13-4all-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2019/13-4all-4x4-16v-gasolina-2p-manual/rj,"R$ 79.608,00"
18,suzuki,jimny,2019,13-4sport-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2019/13-4sport-4x4-16v-gasolina-2p-manual/rj,"R$ 80.622,00"
19,suzuki,jimny,2018,13-4sport-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2018/13-4sport-4x4-16v-gasolina-2p-manual/rj,"R$ 78.495,00"
20,suzuki,jimny,2018,13-4sport-canvas-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2018/13-4sport-canvas-4x4-16v-gasolina-2p-manual/rj,"R$ 91.612,00"
21,suzuki,jimny,2018,13-4all-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2018/13-4all-4x4-16v-gasolina-2p-manual/rj,"R$ 77.666,00"
22,suzuki,jimny,2017,13-4work-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2017/13-4work-4x4-16v-gasolina-2p-manual/rj,"R$ 73.935,00"
23,suzuki,jimny,2017,13-4sport-canvas-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2017/13-4sport-canvas-4x4-16v-gasolina-2p-manual/rj,"R$ 89.377,00"
24,suzuki,jimny,2017,13-4sport-4x4-16v-gasolina-2p-manual,https://www.webmotors.com.br/tabela-fipe/carros/suzuki/jimny/2017/13-4sport-4x4-16v-gasolina-2p-manual/rj,"R$ 73.935,00"
