,brand,model,year,car_detail,url,fipe_price
0,tesla,model-3,2023,eletrico-awd-longe-range-performance,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-3/2023/eletrico-awd-longe-range-performance/rj,"R$ 506.296,67"
1,tesla,model-3,2023,eletrico-awd-standard-range-plus,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-3/2023/eletrico-awd-standard-range-plus/rj,"R$ 429.797,60"
2,tesla,model-3,2022,eletrico-awd-longe-range-performance,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-3/2022/eletrico-awd-longe-range-performance/rj,"R$ 490.196,67"
3,tesla,model-3,2022,eletrico-awd-standard-range-plus,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-3/2022/eletrico-awd-standard-range-plus/rj,"R$ 496.633,33"
4,tesla,model-3,2019,eletrico-awd-performance,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-3/2019/eletrico-awd-performance/rj,"R$ 336.555,67"
5,tesla,model-s,2023,eletrico-plaid,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-s/2023/eletrico-plaid/rj,"R$ 1.250.000,00"
6,tesla,model-s,2022,eletrico-plaid,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-s/2022/eletrico-plaid/rj,"R$ 1.026.600,00"
7,tesla,model-s,2021,eletrico-plaid,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-s/2021/eletrico-plaid/rj,"R$ 869.997,50"
8,tesla,model-s,2020,p100d-performance-awd-eletrico,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-s/2020/p100d-performance-awd-eletrico/rj,"R$ 610.000,00"
9,tesla,model-x,2023,eletrico-plaid,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-x/2023/eletrico-plaid/rj,"R$ 999.666,67"
10,tesla,model-x,2022,eletrico-plaid,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-x/2022/eletrico-plaid/rj,"R$ 1.194.094,29"
11,tesla,model-y,2023,p100d-performance-awd-eletrico,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-y/2023/p100d-performance-awd-eletrico/rj,"R$ 599.990,00"
12,tesla,model-y,2022,p100d-performance-awd-eletrico,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-y/2022/p100d-performance-awd-eletrico/rj,"R$ 509.518,00"
13,tesla,model-y,2021,p100d-performance-awd-eletrico,https://www.webmotors.com.br/tabela-fipe/carros/tesla/model-y/2021/p100d-performance-awd-eletrico/rj,"R$ 359.990,00"
